business_name,address,owner_name,email,phone,website,category,city,source
Cafe Medina,"780 Richards St, Vancouver, BC V6B 2W1, Canada",,reservations@medinacafe.com,(604) 879-3114,http://www.medinacafe.com/,cafe,"Vancouver, Canada",google_maps
"Perfecto Cafe, Bakery & Gelato (Davie)","605 Davie St, Vancouver, BC V6B 2G6, Canada",,info@perfectocafe.ca,(604) 428-2112,https://www.perfectocafe.ca/,cafe,"Vancouver, Canada",google_maps
New Amsterdam Cafe,"301 W Hastings St, Vancouver, BC V6B 1H6, Canada",,hi@newamsterdamcafe.com,(604) 682-8955,http://newamsterdamcafe.com/,restaurant,"Vancouver, Canada",google_maps
Prototype Coffee,"883 E Hastings St, Vancouver, BC V6A 1R8, Canada",,coffee@prototypecoffee.ca,(604) 251-6451,https://www.prototypecoffee.ca/,cafe,"Vancouver, Canada",google_maps
Nelson the Seagull Cafe | Sourdough Baked Daily,"315 Carrall St, Vancouver, BC V6B 2J4, Canada",,info@nelsontheseagull.com,(604) 681-5776,http://www.nelsontheseagull.com/,cafe,"Vancouver, Canada",google_maps
Café Intermezzo - Midtown,"1065 Peachtree St NE, Atlanta, GA 30309, USA",,polson@cafeintermezzo.com,(404) 355-0411,http://www.cafeintermezzo.com/,cafe,"Atlanta, USA",google_maps
Black Coffee Atlanta,"1800 Jonesboro Rd SE Suite C, Atlanta, GA 30315, USA",,contact@theblackcoffeecompany.com,(404) 482-1098,https://www.theblackcoffeecompany.com/black-coffee-atl,coffee shop,"Atlanta, USA",google_maps
Carroll Street Cafe,"208 Carroll St SE, Atlanta, GA 30312, USA",,carrollstreetcafe@gmail.com,(404) 577-2700,http://carrollstreetcabbagetown.com/,cafe,"Atlanta, USA",google_maps
Café Lucia,"57 Forsyth St NW, Atlanta, GA 30303, USA",,cafelucia.shop@gmail.com,(404) 968-9658,http://cafelucia.shop/,coffee shop,"Atlanta, USA",google_maps
Drip,"928 Garrett St B, Atlanta, GA 30316, USA",,dripatl@hotmail.com,(404) 627-7375,http://www.dripatlanta.com/,coffee shop,"Atlanta, USA",google_maps
Omni Coffee & Eggs,"261 Peters St SW, Atlanta, GA 30313, USA",,info@omnicoffeeandeggs.com,(404) 254-2029,http://omnicoffeeandeggs.com/,cafe,"Atlanta, USA",google_maps
Condesa Coffee,"480 John Wesley Dobbs Ave NE UNIT 100, Atlanta, GA 30312, USA",,info@condesacoffee.com,(404) 524-5054,http://www.condesacoffee.com/oldfourthward,coffee shop,"Atlanta, USA",google_maps
Black Coffee ATL,"1246 Allene Ave SW, Atlanta, GA 30310, USA",,westside@blackcoffeeatl.com,(404) 343-1565,http://www.blackcoffeeatl.com/,coffee shop,"Atlanta, USA",google_maps
The Coffee House Barcelona,"Carrer de València, 143, Eixample, 08011 Barcelona, Spain",,thecoffeehousebcn@gmail.com,631 05 08 36,https://www.thecoffeehousebcn.com/,brunch restaurant,"Barcelona, Spain",google_maps
Dalston Coffee Barcelona - Cafè d'especialitat - Coffee Roasters,"Carrer de les Ramelleres, 16, Ciutat Vella, 08001 Barcelona, Spain",,info@dalstoncoffee.com,623 98 27 94,http://www.dalstoncoffee.com/,cafe,"Barcelona, Spain",google_maps
Vera Cafè,"Carrer d'En Mònec, 6, Ciutat Vella, 08003 Barcelona, Spain",,veraacoffee@gmail.com,638 53 67 02,http://veraacafe.com/,coffee shop,"Barcelona, Spain",google_maps
Bloome By Sasha | Brunch Sin Gluten Gótico,"Via Laietana, 45, Ciutat Vella, 08003 Barcelona, Spain",,bloomebysasha@gmail.com,602 50 03 35,https://www.bloomebysasha.es/brunch-gotico,dog cafe,"Barcelona, Spain",google_maps
Roast Club Café,"Carrer de València, 190, Eixample, 08011 Barcelona, Spain",,info@roastclub.coffee,935 18 77 11,http://roastclub.coffee/,cafe,"Barcelona, Spain",google_maps
paradero | Barcelona,"Carrer del Comte Borrell, 107, Eixample, 08015 Barcelona, Spain",,info@paradero.eu,613 03 09 14,http://www.paradero.eu/,cafeteria,"Barcelona, Spain",google_maps
Three Marks Coffee,"Carrer d'Ausiàs Marc, 151, Eixample, 08013 Barcelona, Spain",,club@threemarkscoffee.com,617 82 42 84,http://www.threemarkscoffee.com/,coffee shop,"Barcelona, Spain",google_maps
NOVELA - COFFEE / BRUNCH / COCKTAILS,"Carrer d'Ausiàs Marc, 31, Eixample, 08010 Barcelona, Spain",,info@novelabcn.com,931 65 34 40,http://www.novelabcn.com/,brunch restaurant,"Barcelona, Spain",google_maps
