business_name,address,owner_name,email,phone,website,category,city,source
Barney's Coffeeshop Amsterdam THC Cannabis Dispensary,"Haarlemmerstraat 102, 1013 EW Amsterdam, Netherlands",,,,https://www.barneysamsterdam.com/,coffee shop,"Amsterdam, Netherlands",google_maps
Coffeeshop IBIZA,"Hemonystraat 16, 1074 BP Amsterdam, Netherlands",,,020 223 2534,https://coffeeshopibiza.com/,coffee shop,"Amsterdam, Netherlands",google_maps
Coffeeshop Amsterdam,"Haarlemmerstraat 44, 1013 ES Amsterdam, Netherlands",,,020 427 6739,https://coffeeshopamsterdam.com/,coffee shop,"Amsterdam, Netherlands",google_maps
Boerejongens,"Utrechtsestraat 21, 1017 VH Amsterdam, Netherlands",,,020 447 3557,https://www.boerejongens.com/,coffee shops,"Amsterdam, Netherlands",google_maps
Prix d'Ami.,"Haringpakkerssteeg 3, 1012 LR Amsterdam, Netherlands",The Bong,info@prixdami.nl,,https://www.prixdami.nl/?utm_source=GMB&utm_medium=organic&utm_campaign=website,coffee shop,"Amsterdam, Netherlands",google_maps
ProGram Coffeeshop Amsterdam,"Daniël Stalpertstraat 78, 1072 XK Amsterdam, Netherlands",,,,https://www.coffeeshopdepijp.amsterdam/,coffee shops,"Amsterdam, Netherlands",google_maps
Kafenion Amsterdam,"Bloemgracht 49, 1016 KD Amsterdam, Netherlands",,,,https://www.kafenion.eu/,cafe,"Amsterdam, Netherlands",google_maps
Coffeeshopamsterdam Café,"Singel 8, 1013 GA Amsterdam, Netherlands",,,020 778 4387,https://coffeeshopamsterdamcafe.com/,coffee shop,"Amsterdam, Netherlands",google_maps
Original Dampkring Coffeeshop,"Handboogstraat 29, 1012 XM Amsterdam, Netherlands",,,020 638 0705,http://www.dampkring.amsterdam/,coffee shops,"Amsterdam, Netherlands",google_maps
Grey Area Coffeeshop,"Oude Leliestraat 2, 1015 AW Amsterdam, Netherlands",,,020 420 4301,http://www.greyarea.nl/,tourist attraction,"Amsterdam, Netherlands",google_maps
Coffeeshop Get Down,"Korte Leidsedwarsstraat 77, 1017 PW Amsterdam, Netherlands",,,020 223 1319,https://m.facebook.com/GetDownToIT/,cafe,"Amsterdam, Netherlands",google_maps
Katsu Coffeeshop,"Eerste van der Helststraat 70, 1072 NZ Amsterdam, Netherlands",,,020 675 2617,http://www.katsu.nl/,tourist attraction,"Amsterdam, Netherlands",google_maps
Coffeeshop Bluebird,"Sint Antoniesbreestraat 71, 1011 HB Amsterdam, Netherlands",,,020 622 5232,,association or organization,"Amsterdam, Netherlands",google_maps
Coffeeshop Relax | Amsterdam Centrum,"Binnen Oranjestraat 9, 1013 HZ Amsterdam, Netherlands",,,020 331 1828,https://www.coffeeshop-relax.nl/locaties/coffeeshop-relax-centrum?utm_source=google&utm_medium=maps,coffee shop,"Amsterdam, Netherlands",google_maps
Tyson 2.0 Nieuwmarkt,"Nieuwmarkt 14, 1012 CR Amsterdam, Netherlands",,,020 427 7878,https://greenhouse-effect.amsterdam/,cafe,"Amsterdam, Netherlands",google_maps
Coffeeshop Siberië,"Brouwersgracht 11, 1015 GA Amsterdam, Netherlands",,,020 623 5909,https://thecoffeeshops.com/,cafe,"Amsterdam, Netherlands",google_maps
LOT61 Amsterdam Centraal Station,"Oosterdoksstraat 4, 1011 DK Amsterdam, Netherlands",,,06 11590211,https://lot61.com/lot61-amsterdam-centraal,coffee shop,"Amsterdam, Netherlands",google_maps
De Koffieschenkerij,"Oudekerksplein 27, 1012 GX Amsterdam, Netherlands",,info@koffieschenkerij.com,,http://www.koffieschenkerij.com/,coffee shop,"Amsterdam, Netherlands",google_maps
Easy Times Prinsengracht,"Prinsengracht 476, 1017 KG Amsterdam, Netherlands",,,,https://easytimes.amsterdam/,coffee shops,"Amsterdam, Netherlands",google_maps
Coffeeshop Sloterdijk,"Humberweg 2, 1043 AN Amsterdam, Netherlands",,,06 55955400,http://www.coffeeshopsloterdijk.com/,coffee shops,"Amsterdam, Netherlands",google_maps
Harbor Coffee,"331 Elizabeth St NE suite c, Atlanta, GA 30307, USA",,,(404) 678-1561,http://www.harborcoffeeatl.com/,coffee shop,"Atlanta, USA",google_maps
Foxtail Coffee - Midtown,"1230 W Peachtree St NW unit 120, Atlanta, GA 30309, USA",,,(470) 788-8006,https://www.foxtailcoffee.com/locations/foxtail-coffee-midtown,coffee shop,"Atlanta, USA",google_maps
Bloom Coffee Co.,"2025 Peachtree Rd NW, Atlanta, GA 30309, USA",,bloomcoffeecoatl@gmail.com,(404) 343-6631,http://bloomcoffeecoatl.com/,coffee shop,"Atlanta, USA",google_maps
Portrait Coffee,"1065 Ralph David Abernathy Blvd SW # A, Atlanta, GA 30310, USA",,,,http://portrait.coffee/,coffee shop,"Atlanta, USA",google_maps
Dope Coffee @ Azalea,"25 Peachtree St NW 2nd Floor, Atlanta, GA 30303, USA",,,,http://www.realdope.coffee/,coffee shop,"Atlanta, USA",google_maps
Condesa Coffee,"480 John Wesley Dobbs Ave NE UNIT 100, Atlanta, GA 30312, USA",,,(404) 524-5054,http://www.condesacoffee.com/oldfourthward,coffee shop,"Atlanta, USA",google_maps
Con Leche Coffee,"181 Flat Shoals Ave SE Unit 1, Atlanta, GA 30316, USA",,hola@conlechecoffee.com,(678) 904-9299,https://www.conleche.com/,coffee shop,"Atlanta, USA",google_maps
For Five Coffee Atlanta,"1105 W Peachtree St NW, Atlanta, GA 30309, USA",,,,https://www.forfivecoffee.com/location/for-five-coffee-atlanta/,cafe,"Atlanta, USA",google_maps
Peoples Town Coffee Bar,"55 Milton Ave SE Suite A, Atlanta, GA 30315, USA",,hey@peoplestowncoffee.com,(678) 310-5663,http://www.peoplestowncoffee.com/,coffee shop,"Atlanta, USA",google_maps
Apotheos Coffee Midtown,"740 W Peachtree St NW, Atlanta, GA 30308, USA",,,,http://apotheosroastery.com/,coffee shop,"Atlanta, USA",google_maps
Prevail Union | ATL,"1050 Howell Mill Rd NW, Atlanta, GA 30318, USA",,,(678) 837-5440,http://www.prevailcoffee.com/,coffee shop,"Atlanta, USA",google_maps
Foxtail Coffee - Society Atlanta,"811 Peachtree St NE Unit 5, Atlanta, GA 30308, USA",,,(678) 358-4320,"https://www.foxtailcoffee.com/locations/foxtail-coffee-society-atlanta,-ga",coffee shop,"Atlanta, USA",google_maps
Drip,"928 Garrett St B, Atlanta, GA 30316, USA",,,(404) 627-7375,http://www.dripatlanta.com/,coffee shop,"Atlanta, USA",google_maps
Bellwood Coffee - East Atlanta Village,"1336 Glenwood Ave SE, Atlanta, GA 30316, USA",,,(678) 986-2822,http://bellwoodcoffee.com/,coffee shop,"Atlanta, USA",google_maps
Urban Grind,"962 Marietta St NW, Atlanta, GA 30318, USA",,,,http://urbangrindatlanta.com/,coffee shop,"Atlanta, USA",google_maps
Grant Park Coffeehouse,"337 Georgia Ave SE, Atlanta, GA 30312, USA",,filler@godaddy.com,(404) 856-0433,https://www.grantparkcoffeehouse.com/,coffee shop,"Atlanta, USA",google_maps
Chrome Yellow,"501 Edgewood Ave SE, Atlanta, GA 30312, USA",,,(470) 355-1340,https://chrome-yellow.com/,coffee shop,"Atlanta, USA",google_maps
Remedy Coffee,"1 Wellesley Street West, Auckland CBD, Auckland 1010, New Zealand",,,0210 383 066,https://www.facebook.com/Remedy-Coffee-134703853265719/,coffee shop,"Auckland, New Zealand",google_maps
Maeve Coffee Roasters,"16 Anzac Avenue, Auckland CBD, Auckland 1010, New Zealand",,,,,coffee shop,"Auckland, New Zealand",google_maps
Kompass Coffee,"2 Kitchener Street, Auckland CBD, Auckland 1010, New Zealand",,,,https://www.instagram.com/kompasscoffee/,cafe,"Auckland, New Zealand",google_maps
D.O.S.E On High,"5 High Street, Auckland CBD, Auckland 1010, New Zealand",,,,https://instagram.com/d.o.s.eonhigh?igshid=YTQwZjQ0NmI0OA==,coffee shop,"Auckland, New Zealand",google_maps
The EOS Coffee,"Shop 6, 34/40 Queen Street, Auckland CBD, Auckland 1010, New Zealand",,,,,cafe,"Auckland, New Zealand",google_maps
Coffee Corner,"17 Wellesley Street West, Auckland CBD, Auckland 1010, New Zealand",,,,,coffee shop,"Auckland, New Zealand",google_maps
Rumours coffee,"19 O'Connell Street, Auckland CBD, Auckland 1010, New Zealand",,,,,coffee shop,"Auckland, New Zealand",google_maps
Nola Coffee,"Ground Floor/17 Albert Street, Auckland CBD, Auckland 1010, New Zealand",,,0210 200 1651,,coffee shop,"Auckland, New Zealand",google_maps
Millers Coffee,"31 Cross Street, Auckland CBD, Auckland 1010, New Zealand",,,09 356 7322,http://millerscoffee.co.nz/,coffee shop,"Auckland, New Zealand",google_maps
Allpress Roastery Auckland,"8 Drake Street, Freemans Bay, Auckland 1010, New Zealand",,coffee@allpress.co.nz,09 307 5555,https://nz.allpressespresso.com/find/auckland-roastery?utm_source=google&utm_medium=organic&utm_campaign=mybusiness,coffee shop,"Auckland, New Zealand",google_maps
Atomic Coffee Roasters,"420 New North Road, Kingsland, Auckland 1021, New Zealand",,,0800 286 642,http://atomiccoffee.co.nz/,coffee shop,"Auckland, New Zealand",google_maps
The Pantry,"Park Hyatt Auckland 99 Halsey Street, Auckland CBD, Auckland 1010, New Zealand",,thepantry@hyatt.com,09 366 2501,https://hyattpantry.co.nz/,cafe,"Auckland, New Zealand",google_maps
STOLEN SUMMER,"18B High Street, Auckland CBD, Auckland 1010, New Zealand",,,022 545 2288,https://m.facebook.com/stolensummer.co/,coffee stand,"Auckland, New Zealand",google_maps
BESPOKE coffee specialist,"72 Albert Street, CBD, Auckland 1010, New Zealand",,,09 306 4186,,cafe,"Auckland, New Zealand",google_maps
Chur Bae,"Shed 13A/90 Wellesley Street West, Auckland CBD, Auckland 1010, New Zealand",,,09 300 7264,http://churbae.com/,cafe,"Auckland, New Zealand",google_maps
Meeso Coffee,"22 Kitchener Street, Auckland CBD, Auckland 1010, New Zealand",,,,https://meesocoffee.co.nz/,coffee shop,"Auckland, New Zealand",google_maps
Barcelona Coffeeshop,"Carrer d'Aragó, 60, Eixample, 08015 Barcelona, Spain",,,931 00 52 79,http://barcelonacoffeeshop.com/,association or organization,"Barcelona, Spain",google_maps
Nomad Coffee Bar (ex Coffee Lab),"Passatge Sert, 12, Ciutat Vella, 08003 Barcelona, Spain",,,,http://nomadcoffee.es/,coffee shop,"Barcelona, Spain",google_maps
Coffee Casa,"Carrer dels Carders, 25, Ciutat Vella, 08003 Barcelona, Spain",,,655 14 17 06,http://coffeecasa.es/,coffee shop,"Barcelona, Spain",google_maps
ONIS COFFEE,"Carrer de Roger de Llúria, 87, Eixample, 08009 Barcelona, Spain",,,,https://www.instagram.com/oniscoffee/,coffee shop,"Barcelona, Spain",google_maps
Hidden Coffee Roasters - Les Corts,"C/ Constança, Carrer de Déu i Mata, esquina, Les Corts, 08029 Barcelona, Spain",,,,http://hiddencoffeeroasters.com/,coffee shop,"Barcelona, Spain",google_maps
Brew Coffee,"Carrer de Roger de Flor, 102, Eixample, 08013 Barcelona, Spain",,,620 90 26 94,,cafe,"Barcelona, Spain",google_maps
Dalston Coffee Barcelona - Cafè d'especialitat - Coffee Roasters,"Carrer de les Ramelleres, 16, Ciutat Vella, 08001 Barcelona, Spain",,,623 98 27 94,http://www.dalstoncoffee.com/,coffee roastery,"Barcelona, Spain",google_maps
Kafenion Barcelona,"Carrer de Pau Claris, 128, Eixample, 08009 Barcelona, Spain",,,,https://www.kafenion.eu/,cafe,"Barcelona, Spain",google_maps
Departure Coffee Co.,"Carrer de la Verge, 1, Ciutat Vella, 08001 Barcelona, Spain",,,,,coffee shop,"Barcelona, Spain",google_maps
Magnolia café,"Carrer de n'Amargós, 18, Ciutat Vella, 08002 Barcelona, Spain",,,,https://magnoliasbcncafe.my.canva.site/,coffee shop,"Barcelona, Spain",google_maps
Garage Coffee,"Carrer de Joan Gamper, 13, Les Corts, 08014 Barcelona, Spain",,,,https://www.instagram.com/garagecoffeebcn/,coffee shop,"Barcelona, Spain",google_maps
Ripa Coffee - Eixample,"Carrer del Consell de Cent, 291, Eixample, 08007 Barcelona, Spain",,,,,coffee shop,"Barcelona, Spain",google_maps
Right Side Coffee Bar,"Carrer de l'Arc de Sant Ramon del Call, 11, Ciutat Vella, 08002 Barcelona, Spain",,,,http://www.rightsidecoffee.com/,coffee shop,"Barcelona, Spain",google_maps
Hidden Coffee Roasters - El Born,"Carrer dels Canvis Vells, 10, Ciutat Vella, 08003 Barcelona, Spain",,,,http://hiddencoffeeroasters.com/,coffee shop,"Barcelona, Spain",google_maps
BLACKBIRD Coffee Corner,"Carrer de València, 418, Eixample, 08013 Barcelona, Spain",,,,https://bit.ly/3TujEEc,coffee shop,"Barcelona, Spain",google_maps
Morrow Coffee,"Av. Gran Vía de les Corts Catalanes 403 Barcelona, Spain, Eixample, 08015 Barcelona, Spain",,,,http://morrowcoffee.com/,coffee shop,"Barcelona, Spain",google_maps
LITTLE FERN,"Carrer de Pere IV, 168, Sant Martí, 08005 Barcelona, Spain",,,938 08 93 17,http://www.littleferncafe.com/,coffee shop,"Barcelona, Spain",google_maps
THE BARN Café Mitte,"Auguststraße 58, 10119 Berlin, Germany",,,030 44046292,https://thebarn.de/,coffee roastery,"Berlin, Germany",google_maps
Refinery High End Coffee,"Albrechtstraße 11B, 10117 Berlin, Germany",,,030 30874491,http://refinerycoffee.de/,coffee shop,"Berlin, Germany",google_maps
