business_name,address,owner_name,email,phone,website,category,city,source
Grizzly - American Restaurant,"Warmoesstraat 64-H, 1012 JH Amsterdam, Netherlands",,,020 221 4432,,american restaurant,"Amsterdam, Netherlands",google_maps
Stacks Diner,"De Clercqstraat 32, 1052 NE Amsterdam, Netherlands",,hello@stacksdiner.com,020 854 5963,https://www.stacksdiner.com/,restaurant,"Amsterdam, Netherlands",google_maps
New Dutch Amsterdam,"Prinsengracht 60-62, 1015 DX Amsterdam, Netherlands",,,06 20800184,https://newdutchamsterdam.nl/,diner,"Amsterdam, Netherlands",google_maps
Stamppot Amsterdam,"Leidsekruisstraat 11, 1017 RE Amsterdam, Netherlands",,info@stamppot-amsterdam.nl,020 303 8314,https://www.stamppot-amsterdam.nl/,restaurant,"Amsterdam, Netherlands",google_maps
Hard Rock Cafe Amsterdam,"Max Euweplein 57-61, 1017 MA Amsterdam, Netherlands",,amsterdam_social@hardrock.com,020 888 1358,https://cafe.hardrock.com/amsterdam/#utm_source=Google&utm_medium=Yext&utm_campaign=Listings,american restaurant,"Amsterdam, Netherlands",google_maps
MOAK Pancakes City Center,"Jodenbreestraat 144, 1011 NS Amsterdam, Netherlands",,,,https://moakpancakes.nl/,brunch restaurant,"Amsterdam, Netherlands",google_maps
Restaurant Black,"Prinsengracht 703, 1017 JV Amsterdam, Netherlands",,info@restaurantblack.nl,020 787 0398,https://www.restaurantblack.nl/,diner,"Amsterdam, Netherlands",google_maps
Humphrey's,"Nieuwezijds Kolk 23, 1012 PV Amsterdam, Netherlands",,,020 422 1234,https://www.humphreys.nl/restaurants/humphreys-amsterdam,restaurant,"Amsterdam, Netherlands",google_maps
Stoop & Stoop eetcafé,"Lange Leidsedwarsstraat 82, 1017 NM Amsterdam, Netherlands",,info@stoopenstoop-amsterdam.nl,020 620 0982,http://www.stoopenstoop.nl/,dutch restaurant,"Amsterdam, Netherlands",google_maps
Restaurant Dinner Cruise Amsterdam - Rondvaart met eten,"Prinsengracht 648, 1017 KV Amsterdam, Netherlands",,,06 22197287,https://rederijprinsengracht.com/eet-arrangementen/diner-op-boot-amsterdam/,restaurant,"Amsterdam, Netherlands",google_maps
Hollands Hap Hmm Restaurant,"Eerste Helmersstraat 33, 1054 CZ Amsterdam, Netherlands",,haphmm33@gmail.com,020 770 8924,http://www.hap-hmm.nl/,dutch restaurant,"Amsterdam, Netherlands",google_maps
