business_name,address,owner_name,email,phone,website,category,city,source
Kafenion Amsterdam,"Bloemgracht 49, 1016 KD Amsterdam, Netherlands",,,,https://www.kafenion.eu/,cafe,"Amsterdam, Netherlands",google_maps
LOT61 Amsterdam Centraal Station,"Oosterdoksstraat 4, 1011 DK Amsterdam, Netherlands",,,06 11590211,https://lot61.com/lot61-amsterdam-centraal,coffee shop,"Amsterdam, Netherlands",google_maps
LOT61 Coffee Roasters,"Kinkerstraat 112, 1053 ED Amsterdam, Netherlands",,,020 244 1988,http://lot61.com/,cafe,"Amsterdam, Netherlands",google_maps
Bocca Coffee,"Kerkstraat 96H, 1017 GP Amsterdam, Netherlands",,info@bocca.nl,0321 314 667,http://www.bocca.nl/,coffee shop,"Amsterdam, Netherlands",google_maps
Cafe the Barrel,"Jonge Roelensteeg 4 H, 1012 PL Amsterdam, Netherlands",,info@cafethebarrel.nl,06 51762269,http://www.cafethebarrel.nl/,bar,"Amsterdam, Netherlands",google_maps
Café Hill Street Blues,"Warmoesstraat 52A, 1012 JE Amsterdam, Netherlands",,,020 638 7922,https://www.hillstreetblues.com/,lounge bar,"Amsterdam, Netherlands",google_maps
Coffeeshopamsterdam Café,"Singel 8, 1013 GA Amsterdam, Netherlands",,,020 778 4387,https://coffeeshopamsterdamcafe.com/,coffee shop,"Amsterdam, Netherlands",google_maps
Black Gold Amsterdam,"Korte Koningsstraat 13 H, 1011 EX Amsterdam, Netherlands",,,,http://www.blackgoldamsterdam.com/,coffee shop,"Amsterdam, Netherlands",google_maps
Hagen Espresso Bar (Hagen Kleine Gartmanplantsoen),"Kleine-Gartmanplantsoen 28, 1017 RR Amsterdam, Netherlands",,,,https://www.thehagenproject.com/,coffee shop,"Amsterdam, Netherlands",google_maps
Hummingbird Coffee Amsterdam,"Spuistraat 217, 1012 RN Amsterdam, Netherlands",,info@hummingbird.amsterdam,06 24331985,https://hummingbird.amsterdam/,coffee shop,"Amsterdam, Netherlands",google_maps
De Koffieschenkerij,"Oudekerksplein 27, 1012 GX Amsterdam, Netherlands",,info@koffieschenkerij.com,,http://www.koffieschenkerij.com/,cafe,"Amsterdam, Netherlands",google_maps
Caffè il Momento,"Singel 180, 1015 AJ Amsterdam, Netherlands",,,,http://www.caffeilmomento.nl/,coffee shop,"Amsterdam, Netherlands",google_maps
Sango Specialty Coffee Roasters,"Stromarkt 15, 1012 MZ Amsterdam, Netherlands",,,,https://www.sangoamsterdam.com/,coffee roastery,"Amsterdam, Netherlands",google_maps
Back to Black,"Weteringstraat 48, 1017 RN Amsterdam, Netherlands",,info@backtoblackcoffee.nl,,http://www.backtoblackcoffee.nl/,coffee roastery,"Amsterdam, Netherlands",google_maps
Cafecito,"Van Baerlestraat 83, 1071 AS Amsterdam, Netherlands",,coffee@cafecito.nl,,https://cafecito.nl/,coffee shop,"Amsterdam, Netherlands",google_maps
Luuk's Coffee Noordermarkt,"Westerstraat 3, 1015 LT Amsterdam, Netherlands",,,,http://www.luukscoffee.com/,coffee shop,"Amsterdam, Netherlands",google_maps
Elevate Coffee Lab,"Van der Helstplein 10H, 1072 PH Amsterdam, Netherlands",,elevatecoffeelab@gmail.com,,http://elevatecoffeelab.com/,coffee shop,"Amsterdam, Netherlands",google_maps
Koffie Academie,"Overtoom 95, 1054 HD Amsterdam, Netherlands",,,,,cafe,"Amsterdam, Netherlands",google_maps
Espressobar Puccini,"Staalstraat 21, 1011 JK Amsterdam, Netherlands",,info@espressobarpuccini.nl,020 620 8458,http://www.puccini.nl/,coffee shop,"Amsterdam, Netherlands",google_maps
Haku Specialty Coffee,"Rozengracht 69, 1016 LT Amsterdam, Netherlands",,,,http://www.hakucoffee.nl/,coffee shop,"Amsterdam, Netherlands",google_maps
Peoples Town Coffee Bar,"55 Milton Ave SE Suite A, Atlanta, GA 30315, USA",,hey@peoplestowncoffee.com,(678) 310-5663,http://www.peoplestowncoffee.com/,coffee shop,"Atlanta, USA",google_maps
Daily Dose Coffee,"907 Memorial Dr SE Suite 112, Atlanta, GA 30316, USA",,,(404) 254-1188,https://www.atlantacoffeeshops.com/daily-dose-coffee,coffee shop,"Atlanta, USA",google_maps
Urban Grind,"962 Marietta St NW, Atlanta, GA 30318, USA",,,,http://urbangrindatlanta.com/,coffee shop,"Atlanta, USA",google_maps
Taproom Coffee,"1963 Hosea L Williams Dr SE R106, Atlanta, GA 30317, USA",,,(404) 464-5435,http://www.taproomcoffee.com/,coffee shop,"Atlanta, USA",google_maps
Cafe Bartique,"2315 Cascade Rd, Atlanta, GA 30311, USA",,admin@cafebartique.com,(404) 343-1780,http://www.cafebartique.com/,coffee shop,"Atlanta, USA",google_maps
El Viñedo Local,"730 Peachtree St NE Suite 100, Atlanta, GA 30308, USA",,welcome@elvinedolocal.com,(404) 596-8239,https://www.elvinedolocal.com/,south american restaurant,"Atlanta, USA",google_maps
Mend Coffee & Goods,"3655 Roswell Rd NE #106, Atlanta, GA 30342, USA",,,(470) 458-2158,https://www.mendcoffee.com/,coffee shop,"Atlanta, USA",google_maps
East Pole Coffee Co.,"255 Ottley Dr NE #105, Atlanta, GA 30324, USA",,,(404) 939-6498,http://eastpole.coffee/,cafe,"Atlanta, USA",google_maps
Ash Coffee,"1189 Virginia Ave NE, Atlanta, GA 30306, USA",,,,http://ashcoffeeatl.com/,coffee shop,"Atlanta, USA",google_maps
STEREO,"900 DeKalb Ave NE suite f, Atlanta, GA 30307, USA",,,(404) 228-7226,http://www.stereoatl.com/,cafe,"Atlanta, USA",google_maps
Bar Premio,"800 Rankin St NE, Atlanta, GA 30308, USA",,,(470) 470-8020,https://barpremioatlanta.com/?utm_source=google&utm_medium=Local&utm_campaign=Google+My+Business,bar,"Atlanta, USA",google_maps
Con Leche Coffee,"181 Flat Shoals Ave SE Unit 1, Atlanta, GA 30316, USA",,hola@conlechecoffee.com,(678) 904-9299,https://www.conleche.com/,coffee shop,"Atlanta, USA",google_maps
ADios Cafe,"180 Walker St SW ste d, Atlanta, GA 30313, USA",,,(404) 574-5679,https://adioscafe.com/,breakfast restaurant,"Atlanta, USA",google_maps
Harbor Coffee,"331 Elizabeth St NE suite c, Atlanta, GA 30307, USA",,,(404) 678-1561,http://www.harborcoffeeatl.com/,coffee shop,"Atlanta, USA",google_maps
Inman Perk Coffee - Atlanta,"240 N Highland Ave NE h, Atlanta, GA 30307, USA",,,(678) 705-4545,,coffee shop,"Atlanta, USA",google_maps
Java Lords,"1105 Euclid Ave NE, Atlanta, GA 30307, USA",,,(404) 477-0921,,coffee shop,"Atlanta, USA",google_maps
Eden Espresso Bar,"98 Mount Eden Road, Mount Eden, Auckland 1024, New Zealand",,,0274 925 009,http://edenespressobar.co.nz/,cafe,"Auckland, New Zealand",google_maps
Remedy Coffee,"1 Wellesley Street West, Auckland CBD, Auckland 1010, New Zealand",,,0210 383 066,https://www.facebook.com/Remedy-Coffee-134703853265719/,coffee shop,"Auckland, New Zealand",google_maps
D.O.S.E On High,"5 High Street, Auckland CBD, Auckland 1010, New Zealand",,,,https://instagram.com/d.o.s.eonhigh?igshid=YTQwZjQ0NmI0OA==,coffee shop,"Auckland, New Zealand",google_maps
The Hideout Espresso Bar,"233 Symonds Street, Eden Terrace, Auckland 1010, New Zealand",,,09 379 2431,https://www.instagram.com/thehideout_espressobar,cafe,"Auckland, New Zealand",google_maps
Zibetto Espresso Bar,"1 Albert Street, Auckland CBD, Auckland 1010, New Zealand",,,,https://www.instagram.com/zibetto_nz/,coffee shop,"Auckland, New Zealand",google_maps
Lorne street Espresso Bar,"32 Lorne Street, Auckland CBD, Auckland 1010, New Zealand",,,020 4110 3120,,coffee shop,"Auckland, New Zealand",google_maps
Rumours coffee,"19 O'Connell Street, Auckland CBD, Auckland 1010, New Zealand",,,,,coffee shop,"Auckland, New Zealand",google_maps
Allpress Roastery Auckland,"8 Drake Street, Freemans Bay, Auckland 1010, New Zealand",,coffee@allpress.co.nz,09 307 5555,https://nz.allpressespresso.com/find/auckland-roastery?utm_source=google&utm_medium=organic&utm_campaign=mybusiness,coffee shop,"Auckland, New Zealand",google_maps
Espresso Workshop Britomart,"11 Britomart Place, Auckland CBD, Auckland 1010, New Zealand",,,09 302 3691,http://www.espressoworkshop.co.nz/,coffee shop,"Auckland, New Zealand",google_maps
Koffee Bar CBD,"34 Wyndham Street, CBD, Auckland 1010, New Zealand",,,09 309 8556,https://koffeebarcbdtakeaway.co.nz/cdbM,cafe,"Auckland, New Zealand",google_maps
The EOS Coffee,"Shop 6, 34/40 Queen Street, Auckland CBD, Auckland 1010, New Zealand",,,,,cafe,"Auckland, New Zealand",google_maps
Kompass Coffee,"2 Kitchener Street, Auckland CBD, Auckland 1010, New Zealand",,,,https://www.instagram.com/kompasscoffee/,cafe,"Auckland, New Zealand",google_maps
Millers Coffee,"31 Cross Street, Auckland CBD, Auckland 1010, New Zealand",,,09 356 7322,http://millerscoffee.co.nz/,coffee shop,"Auckland, New Zealand",google_maps
Nola Coffee,"Ground Floor/17 Albert Street, Auckland CBD, Auckland 1010, New Zealand",,,0210 200 1651,,coffee shop,"Auckland, New Zealand",google_maps
Coffee Corner,"17 Wellesley Street West, Auckland CBD, Auckland 1010, New Zealand",,,,,coffee shop,"Auckland, New Zealand",google_maps
Lieutenant Coffee Bar & Eatery,"Commercial Bay 12/7 Queen Street, Auckland CBD, Auckland 1010, New Zealand",,,09 300 5056,http://www.lieutenant.nz/,cafe,"Auckland, New Zealand",google_maps
Meeso Coffee,"22 Kitchener Street, Auckland CBD, Auckland 1010, New Zealand",,,,https://meesocoffee.co.nz/,coffee shop,"Auckland, New Zealand",google_maps
BESPOKE coffee specialist,"72 Albert Street, CBD, Auckland 1010, New Zealand",,,09 306 4186,,cafe,"Auckland, New Zealand",google_maps
Nomad Coffee Bar (ex Coffee Lab),"Passatge Sert, 12, Ciutat Vella, 08003 Barcelona, Spain",,,,http://nomadcoffee.es/,coffee shop,"Barcelona, Spain",google_maps
Right Side Coffee Bar,"Carrer de l'Arc de Sant Ramon del Call, 11, Ciutat Vella, 08002 Barcelona, Spain",,,,http://www.rightsidecoffee.com/,cafe,"Barcelona, Spain",google_maps
