business_name,address,owner_name,email,phone,website,category,city,source
Nightingale,"1017 W Hastings St, Vancouver, BC V6C 2G6, Canada",,info@hawknightingale.com,(604) 695-9500,http://hawknightingale.com/,restaurant,"Vancouver, Canada",google_maps
Chambar Restaurant,"568 Beatty St, Vancouver, BC V6B 2L3, Canada",,info@chambar.com,(604) 879-7119,http://www.chambar.com/,restaurant,"Vancouver, Canada",google_maps
Cardero's Restaurant,"1583 Coal Harbour Quay, Vancouver, BC V6G 3J7, Canada",,info@vancouverdine.com,(604) 669-7666,https://www.vancouverdine.com/carderos/,seafood restaurant,"Vancouver, Canada",google_maps
Joe Fortes Seafood & Chop House,"777 Thurlow St, Vancouver, BC V6E 3V5, Canada",,info@joefortes.ca,(604) 669-1940,http://www.joefortes.ca/,seafood restaurant,"Vancouver, Canada",google_maps
Glowbal,"590 W Georgia St, Vancouver, BC V6E 1A3, Canada",,info@glowbal.ca,(604) 602-0835,https://glowbalgroup.com/glowbal/,restaurant,"Vancouver, Canada",google_maps
Coast,"1054 Alberni St, Vancouver, BC V6E 1A3, Canada",,info@coastrestaurant.ca,(604) 685-5010,https://www.glowbalgroup.com/coast/,restaurant,"Vancouver, Canada",google_maps
Lavantine Restaurant & Skybar,"833 W Pender St, Vancouver, BC V6C 1K7, Canada",,natasha@azurhotelvancouver.com,(604) 416-2855,https://lavantine.ca/,restaurant,"Vancouver, Canada",google_maps
Italian Kitchen,"860 Burrard St, Vancouver, BC V6Z 1X9, Canada",,info@theitaliankitchen.ca,(604) 687-2858,https://www.glowbalgroup.com/italiankitchen/,restaurant,"Vancouver, Canada",google_maps
Five Sails Restaurant,"999 Canada Pl, Vancouver, BC V6C 3E1, Canada",,info@fivesails.ca,(604) 844-2855,https://glowbalgroup.com/five-sails/,restaurant,"Vancouver, Canada",google_maps
Marcel,"1170 Howell Ml Rd, Atlanta, GA 30318, USA",,eventsmarcel@rocketfarmrestaurants.com,(404) 665-4555,http://www.marcelatl.com/,french restaurant,"Atlanta, USA",google_maps
By George restaurant and bar,"127 Peachtree Rd NE, Atlanta, GA 30303, USA",,bygeorge@thecandlerhotel.com,(470) 851-2752,https://www.bygeorgeatl.com/,restaurant,"Atlanta, USA",google_maps
Poor Calvin's,"510 Piedmont Ave NE, Atlanta, GA 30308, USA",,info@poorcalvins.com,(404) 254-4051,http://www.poorcalvins.com/,asian fusion restaurant,"Atlanta, USA",google_maps
Tabla,"77 12th St NE #2, Atlanta, GA 30309, USA",,info@tablaatlanta.com,(404) 464-8571,https://tablaatlanta.com/,indian restaurant,"Atlanta, USA",google_maps
Nikolai's Roof,"255 Courtland St NE, Atlanta, GA 30303, USA",,nikolais_roof@hilton.com,(404) 221-6362,http://nikolaisroofatl.com/?SEO_id=GMB-HH-R-ATLAHHH-1&y_source=1_MTU0MDUxNDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,restaurant,"Atlanta, USA",google_maps
"The Sun Dial Restaurant, Bar & View","210 Peachtree St NW, Atlanta, GA 30303, USA",,sundial@westin.com,(404) 589-7506,https://www.sundialrestaurant.com/,restaurant,"Atlanta, USA",google_maps
Disfrutar,"Carrer de Villarroel, 163, Eixample, 08036 Barcelona, Spain",,admin@cxcchefs.com,933 48 68 96,http://www.disfrutarbarcelona.com/,fine dining restaurant,"Barcelona, Spain",google_maps
Casa Lolea,"Carrer de Sant Pere Més Alt, 49, Ciutat Vella, 08003 Barcelona, Spain",,holabcn@casalolea.com,936 24 10 16,https://casalolea.com/,restaurant,"Barcelona, Spain",google_maps
Arcano Restaurant cave,"Carrer dels Mercaders, 10, Ciutat Vella, 08003 Barcelona, Spain",,info@arcanobcn.com,932 95 64 67,https://www.arcanobarcelona.com/,mediterranean restaurant,"Barcelona, Spain",google_maps
Prado de Flores Restaurant,"Carrer de Santa Anna, 11, Ciutat Vella, 08002 Barcelona, Spain",,reservaspradodeflores@hotmail.com,933 21 50 93,https://pradodeflores.es/,mediterranean restaurant,"Barcelona, Spain",google_maps
2254 Barcelona Restaurant,"Carrer del Consell de Cent, 335, Eixample, 08007 Barcelona, Spain",,info@2254tapasbarcelona.com,935 28 60 02,https://2254tapasbarcelona.com/,tapas restaurant,"Barcelona, Spain",google_maps
Maleducat l Restaurante Eixample,"Carrer de Manso, 54, Eixample, 08015 Barcelona, Spain",,reserves@maleducat.es,936 04 67 53,https://maleducat.es/?utm_source=GMB&utm_medium=gmb&utm_id=web,restaurant,"Barcelona, Spain",google_maps
Restaurant Ibid,"18 N Canal Rd, Singapore 048830",,hello@restaurantibid.com,9151 8698,https://www.restaurantibid.com/,asian fusion restaurant,Singapore,google_maps
Burnt Ends,"7 Dempsey Rd, #01-02, Singapore 249671",Dave Pynt,eat@burntends.com.sg,6224 3933,https://burntends.com.sg/,barbecue restaurant,Singapore,google_maps
Kimchi Dining | Korean Restaurant Singapore,"181 Orchard Rd, #06-10 Orchard Central Singapore 238896",,business@initia.sg,9113 7090,https://initia.sg/pages/kimchi-dining,korean restaurant,Singapore,google_maps
Eden Restaurant,"270 Orchard Rd, Singapore 238857",,henrik.hansson@accor.com,6603 8888,https://restaurantsandbars.accor.com/en/restaurant/B9H8_R001,restaurant,Singapore,google_maps
Dusk @ Mount Faber Peak,"Mount Faber Rd, Level 2 Mount Faber Peak Singapore, Singapore 099203",,guestrelations@mflg.com.sg,6361 0088,https://mountfaberdining.com/pages/dusk,restaurant,Singapore,google_maps
NOX - Dine in the Dark,"83 Club St, Singapore 069451",,enquiries@noxdineinthedark.com,6298 0708,https://www.noxdineinthedark.com/,european restaurant,Singapore,google_maps
Tora Tora Tora Japanese Restaurant Singapore,"62 Ubi Rd 1, #11-19, Singapore 408734",,roar@toratoratora.sg,9852 9148,https://www.toratoratora.sg/,japanese restaurant,Singapore,google_maps
The Halia at Singapore Botanic Gardens,"1 Cluny Rd, Ginger Garden Singapore Botanic Gardens, Singapore 259569",,general.hsbg@thehalia.com,8444 1148,http://www.thehalia.com/,restaurant,Singapore,google_maps
