business_name,address,owner_name,email,phone,website,category,city,source
Café Intermezzo - Midtown,"1065 Peachtree St NE, Atlanta, GA 30309, USA",,polson@cafeintermezzo.com,(404) 355-0411,http://www.cafeintermezzo.com/,cafes,"Atlanta, USA",google_maps
Black Coffee Atlanta,"1800 Jonesboro Rd SE Suite C, Atlanta, GA 30315, USA",,contact@theblackcoffeecompany.com,(404) 482-1098,https://www.theblackcoffeecompany.com/black-coffee-atl,cafes,"Atlanta, USA",google_maps
Carroll Street Cafe,"208 Carroll St SE, Atlanta, GA 30312, USA",,carrollstreetcafe@gmail.com,(404) 577-2700,http://carrollstreetcabbagetown.com/,cafes,"Atlanta, USA",google_maps
Café Lucia,"57 Forsyth St NW, Atlanta, GA 30303, USA",,cafelucia.shop@gmail.com,(404) 968-9658,http://cafelucia.shop/,cafes,"Atlanta, USA",google_maps
Drip,"928 Garrett St B, Atlanta, GA 30316, USA",,dripatl@hotmail.com,(404) 627-7375,http://www.dripatlanta.com/,cafes,"Atlanta, USA",google_maps
Omni Coffee & Eggs,"261 Peters St SW, Atlanta, GA 30313, USA",,info@omnicoffeeandeggs.com,(404) 254-2029,http://omnicoffeeandeggs.com/,cafes,"Atlanta, USA",google_maps
Condesa Coffee,"480 John Wesley Dobbs Ave NE UNIT 100, Atlanta, GA 30312, USA",,info@condesacoffee.com,(404) 524-5054,http://www.condesacoffee.com/oldfourthward,cafes,"Atlanta, USA",google_maps
Black Coffee ATL,"1246 Allene Ave SW, Atlanta, GA 30310, USA",,westside@blackcoffeeatl.com,(404) 343-1565,http://www.blackcoffeeatl.com/,cafes,"Atlanta, USA",google_maps
Chuffed,"43 High Street, Auckland CBD, Auckland 1010, New Zealand",,chuffedbooking@gmail.com,09 367 6801,https://www.chuffed.co.nz/,cafes,"Auckland, New Zealand",google_maps
Scarecrow Mediterranean Cafe,"33 Victoria Street East, Auckland 1010, New Zealand",,store@scarecrow.co.nz,09 377 1333,http://scarecrow.co.nz/,cafes,"Auckland, New Zealand",google_maps
Crave,"6 Morningside Drive, Morningside, Auckland 1025, New Zealand",,bookings@cravecafe.co.nz,09 845 4714,http://cravecafe.co.nz/,cafes,"Auckland, New Zealand",google_maps
MELBA Vulcan,"33 Vulcan Lane, Auckland CBD, Auckland 1010, New Zealand",,vulcan@melba.nz,09 377 0091,https://melba.nz/vulcan-lane,cafes,"Auckland, New Zealand",google_maps
Honey Cafe CBD,"44/46 Lorne Street, Auckland CBD, Auckland 1010, New Zealand",,honeycafecbd2025@gmail.com,09 300 6327,https://honeycafe.co.nz/cbd/,cafes,"Auckland, New Zealand",google_maps
FLUFF Cafe & Eatery,"Unit 7G/38 Khyber Pass Road, Grafton, Auckland 1023, New Zealand",,info@fluffhouse.co.nz,09 282 1206,https://www.fluffhouse.co.nz/,cafes,"Auckland, New Zealand",google_maps
Bestie Cafe,"179/183 Karangahape Road, Auckland CBD, Auckland 1010, New Zealand",,info@bestiecafe.co.nz,,http://bestiecafe.co.nz/,cafes,"Auckland, New Zealand",google_maps
The Pantry,"Park Hyatt Auckland 99 Halsey Street, Auckland CBD, Auckland 1010, New Zealand",,thepantry@hyatt.com,09 366 2501,https://hyattpantry.co.nz/,cafes,"Auckland, New Zealand",google_maps
Little Q,"460 New North Road, Kingsland, Auckland 1021, New Zealand",,cafe@littleq.co.nz,09 815 0660,https://littleq.co.nz/,cafes,"Auckland, New Zealand",google_maps
Winona Forever,"100 Parnell Road, Parnell, Auckland 1052, New Zealand",,info@winonaforever.co.nz,09 974 2796,http://winonaforever.co.nz/,cafes,"Auckland, New Zealand",google_maps
The Coffee House Barcelona,"Carrer de València, 143, Eixample, 08011 Barcelona, Spain",,thecoffeehousebcn@gmail.com,631 05 08 36,https://www.thecoffeehousebcn.com/,cafes,"Barcelona, Spain",google_maps
Dalston Coffee Barcelona - Cafè d'especialitat - Coffee Roasters,"Carrer de les Ramelleres, 16, Ciutat Vella, 08001 Barcelona, Spain",,info@dalstoncoffee.com,623 98 27 94,http://www.dalstoncoffee.com/,cafes,"Barcelona, Spain",google_maps
Vera Cafè,"Carrer d'En Mònec, 6, Ciutat Vella, 08003 Barcelona, Spain",,veraacoffee@gmail.com,638 53 67 02,http://veraacafe.com/,cafes,"Barcelona, Spain",google_maps
Bloome By Sasha | Brunch Sin Gluten Gótico,"Via Laietana, 45, Ciutat Vella, 08003 Barcelona, Spain",,bloomebysasha@gmail.com,602 50 03 35,https://www.bloomebysasha.es/brunch-gotico,cafes,"Barcelona, Spain",google_maps
Roast Club Café,"Carrer de València, 190, Eixample, 08011 Barcelona, Spain",,info@roastclub.coffee,935 18 77 11,http://roastclub.coffee/,cafes,"Barcelona, Spain",google_maps
paradero | Barcelona,"Carrer del Comte Borrell, 107, Eixample, 08015 Barcelona, Spain",,info@paradero.eu,613 03 09 14,http://www.paradero.eu/,cafes,"Barcelona, Spain",google_maps
Three Marks Coffee,"Carrer d'Ausiàs Marc, 151, Eixample, 08013 Barcelona, Spain",,club@threemarkscoffee.com,617 82 42 84,http://www.threemarkscoffee.com/,cafes,"Barcelona, Spain",google_maps
NOVELA - COFFEE / BRUNCH / COCKTAILS,"Carrer d'Ausiàs Marc, 31, Eixample, 08010 Barcelona, Spain",,info@novelabcn.com,931 65 34 40,http://www.novelabcn.com/,cafes,"Barcelona, Spain",google_maps
Casa Café Cultor,"Cl. 70a #9 - 44 Casa, Bogotá, Colombia",,tienda.casa@cafecultor.co,315 5431596,https://www.cafecultor.co/,cafes,"Bogota, Colombia",google_maps
Arte y pasión Café: Escuela de baristas,"Cl. 10 #8 - 87, Bogotá, Colombia",,arteypasioncafe@gmail.com,317 5097835,https://arteypasioncafe.com/,cafes,"Bogota, Colombia",google_maps
Juan Valdez - Zona G,"Cl. 70 #6 – 09, Chapinero, Bogotá, Cundinamarca, Colombia",,cuentaconjuan@juanvaldezcafe.com,,https://juanvaldez.com/,cafes,"Bogota, Colombia",google_maps
Café Casa Galería,"Cl. Del Embudo #12B - 92, Bogotá, Colombia",,experiencias@casagaleria.co,321 2683638,https://casagaleria.co/,cafes,"Bogota, Colombia",google_maps
Tropicalia Coffee,"Cl. 81a #8-23, Bogotá, Colombia",,admin@tropicaliacoffee.com,322 6802553,https://www.tropicaliacoffee.com/,cafes,"Bogota, Colombia",google_maps
DV Café Especial.,"Centro histórico, Cl. 12b #4-06, La Candelaria, Bogotá, Colombia",,experiencias@divinocafeespecial.com,317 3810597,https://www.divinocafeespecial.com/,cafes,"Bogota, Colombia",google_maps
Café Monstruo,"Cra. 18 #84 84, Bogotá, Colombia",,cafemonstruogerencia@gmail.com,311 2615249,http://www.cafemonstruo.com/,cafes,"Bogota, Colombia",google_maps
Café Tortoni,"Av. de Mayo 825, C1084 Cdad. Autónoma de Buenos Aires, Argentina",,tortoni@cafetortoni.com.ar,011 4342-4328,http://www.cafetortoni.com.ar/,cafes,"Buenos Aires, Argentina",google_maps
Las Violetas,"Av. Rivadavia 3899, C1204 Cdad. Autónoma de Buenos Aires, Argentina",,contacto@lasvioletas.com,011 4958-7387,http://www.lasvioletas.com/,cafes,"Buenos Aires, Argentina",google_maps
DOC Café,"Aráoz 645, C1414 Cdad. Autónoma de Buenos Aires, Argentina",,cafeina@doccafe.com.ar,011 6196-5270,http://doccafe.com.ar/,cafes,"Buenos Aires, Argentina",google_maps
Full City Coffee Roasters,"Thames 1535, C1414 Cdad. Autónoma de Buenos Aires, Argentina",,oraclegym@gmail.com,,http://www.fullcity.com.ar/,cafes,"Buenos Aires, Argentina",google_maps
Joe's Café Dubai,"fashion Avenue First Floor, Dubai Mall Star Atrium - Gate 6 - Burj Khalifa - Downtown Dubai - Dubai - United Arab Emirates",,joescafedubai@binhendiholding.com,04 320 0040,https://www.joescafedubai.com/,cafes,"Dubai, UAE",google_maps
Hoof Dubai Mall,Dubai Mall service road - Burj Khalifa - Downtown Dubai - Dubai - United Arab Emirates,,info@behindthecup.ae,04 332 9950,https://behindthecup.ae/,cafes,"Dubai, UAE",google_maps
"Arabian Tea House Restaurant & Cafe - Al Fahidi, Dubai",Bastakiya Opposite Musalla Post Office - Al Fahidi St - Bur Dubai - Al Fahidi - Dubai - United Arab Emirates,,info@arabianteahouse.com,04 353 5071,http://www.arabianteahouse.com/,cafes,"Dubai, UAE",google_maps
Ores Cafe,Street - 442 شارع الوصل - opposite Boxpark - جميرا - جميرا الثانية - دبي - United Arab Emirates,,info@orescafe.com,050 945 4111,http://orescafe.com/,cafes,"Dubai, UAE",google_maps
Nargileci Eleven Cafe,Building Al Emreef St - Marsa Dubai - Dubai Marina - Dubai - United Arab Emirates,,nargileci@neleven.ae,04 591 1612,https://nargileci.neleven.ae/,cafes,"Dubai, UAE",google_maps
Nomad Day Bar,25hours Hotel Dubai One Central - شارع المستقبل - off شارع الشيخ زايد - المركز التجاري الثانية - دبي - United Arab Emirates,,coffee@nomaddaybar.com,04 210 2522,https://www.nomaddaybar.com/,cafes,"Dubai, UAE",google_maps
TEN 11 (The Dubai Mall),Level 2 Fashion Avenue The Dubai Mall - برج خليفة - وسط مدينة دبي - دبي - United Arab Emirates,The Managing Director,ten11cafe@gmail.com,600 533339,https://www.ten11cafe.ae/,cafes,"Dubai, UAE",google_maps
Stomping Grounds,98 12D St - Jumeirah - Jumeirah 1 - Dubai - United Arab Emirates,,info@stompinggrounds.ae,04 344 4451,http://www.stompinggrounds.ae/,cafes,"Dubai, UAE",google_maps
