business_name,email,phone,website,city,address,owner_name,category
The Garden Room,websitecontact@thegardenroomatlanta.com,(404) 600-6471,https://thegardenroomatlanta.com/,"Atlanta, USA",,,lounge bar
Bijou Bistro,reservations@bijourathgar.ie,(01) 496 1518,http://bijourathgar.ie/,"Dublin, Ireland",,,cocktail bar
Albert's Schloss - Manchester,events@albertsschloss.co.uk,0161 833 4040,https://albertsschloss.com/location/manchester/,"Manchester, UK",,,bar
Le bistrot,lebistrot75010@gmail.com,09 81 27 24 40,https://le-bistrot-paris.eatbu.com/,"Paris, France",,,bar
Cafe Sydney Restaurant,reservations@cafesydney.com,(02) 9251 8683,http://www.cafesydney.com/,"Sydney, Australia",,,cocktail bar
Roanoke Restaurant,info@roanokehospitality.com,(312) 361-3800,http://www.theroanokerestaurant.com/,"Chicago, USA",,,cocktail bar
Cooke's Restaurant & Bar,cookes@fableauckland.com,09 309 9979,https://cookesrestaurant.co.nz/,"Auckland, New Zealand",,,bar
Amaya Best Shisha In Dubai,info@amayaintl.com,04 587 1000,https://amayaintl.com/,"Dubai, UAE",,,hookah bar
Traveler's Table,info@travelerstable.com,(832) 409-5785,http://www.travelerstable.com/,"Houston, USA",,,cocktail bar
Darwin Brasserie,restaurants@skygarden.london,0333 772 0020,https://skygarden.london/restaurants/darwin-brasserie/,"London, UK",,,bar
Dukes 92,reservations@dukes92.com,0161 839 8642,http://www.dukes92.com/,"Manchester, UK",,,bar and grill
Fogo de Chão Jardins,jardins@fogodechao.com.br,(11) 3062-2223,https://fogodechao.com.br/location/jardins/,"São Paulo, Brazil",,,barbecue restaurant
Cafe the Barrel,info@cafethebarrel.nl,06 51762269,http://www.cafethebarrel.nl/,"Amsterdam, Netherlands",,,bar
Grind,hello@grind.co.uk,020 3019 7178,http://www.grind.co.uk/londongrind,"London, UK",,,cocktail bar
The Only Cafe,theonlycafecoffee@gmail.com,(416) 463-3249,https://www.theonlycafe.com/,"Toronto, Canada",,,bar
Canoe,donations@oliverbonacini.com,(416) 364-0054,http://www.canoerestaurant.com/,"Toronto, Canada",,,wine bar
Fox on John,info@foxonjohn.ca,(647) 748-0369,https://www.foxonjohn.ca/,"Toronto, Canada",,,wine bar
GEORGE Restaurant,concierge@verity.ca,(416) 863-6006,http://www.georgeonqueen.com/,"Toronto, Canada",,,bar
Burnt Ends,eat@burntends.com.sg,6224 3933,https://burntends.com.sg/,Singapore,,,barbecue restaurant
La Cabrera,info@lacabrera.com.ar,011 4831-0325,http://lacabrera.com.ar/,"Buenos Aires, Argentina",,,barbecue restaurant
Bar da Dona Onça,comunicacao@bardadonaonca.com.br,(11) 3257-2016,http://www.bardadonaonca.com.br/,"São Paulo, Brazil",,,bar and grill
Noir Lagos,info@noir.live,0908 066 6687,http://www.noir.live/,"Lagos, Nigeria",,,wine bar
