business_name,email,phone,website,city,address,owner_name,category
Bistro Baret,info@bistrobaret.nl,020 622 5602,http://www.bistrobaret.nl/,"Amsterdam, Netherlands",,,bistro
Bistro Berlage,info@bistroberlage.com,020 530 4146,https://www.bistroberlage.com/,"Amsterdam, Netherlands",,,bistro
Bread & Butterfly,info@bread-and-butterfly.com,(678) 515-4536,http://www.bread-and-butterfly.com/,"Atlanta, USA",,,bistro
Bucks Bistro,manager@bucksbistro.co.nz,09 215 8435,https://www.bucksbistro.co.nz/,"Auckland, New Zealand",,,bistro
Paname Social,hello@panamesocial.co.nz,09 884 0983,https://www.panamesocial.co.nz/?fbclid=PAAaaXQSPI3joeLPNoRLab4I5l7rWlAQLA_ECggdM8gEhv_l--75ubGUZiiQ4,"Auckland, New Zealand",,,bistro
Bistro Lebenswelten - Humboldt Forum,humboldtforum@lebenswelten.de,030 555705881,https://www.humboldtforum-lebenswelten.de/,"Berlin, Germany",,,bistro
Belmondo,info@belmondo-berlin.de,030 36287261,http://www.belmondo-berlin.de/,"Berlin, Germany",,,bistro
ITA Bistro,hello@ita-berlin.de,030 64328158,http://www.ita-berlin.de/,"Berlin, Germany",,,bistro
Gina Bistrot,ginabistrot.berlin@gmail.com,01520 6216957,http://www.ginabistrot.com/,"Berlin, Germany",,,bistro
Las Pizarras bistro,awright@specialtyvaluation.com,011 2190-8568,http://www.laspizarrasbistro.com/,"Buenos Aires, Argentina",,,bistro
London Road Bistro,events@thehydehotel.com,021 434 0205,https://www.thehydehotel.com/venues,"Cape Town, South Africa",,,bistro
Bistronomic,bistronomic@hotmail.com,(312) 944-8400,http://bistronomic.net/,"Chicago, USA",,,bistro
Sal’s Bistro,media@bassili.co,050 788 0222,https://www.salsbistro.co/,"Dubai, UAE",,,bistro
Nola Bijou Bistro & Bar,cwreservations@noladubai.com,04 334 4098,https://www.noladubai.com/,"Dubai, UAE",,,bistro
PHX Bistro,phxbistro@gmail.com,(01) 611 1161,http://www.phxbistro.com/,"Dublin, Ireland",,,bistro
Sparks Bistro,info@sparksbistro.com,(01) 873 0003,http://www.sparksbistro.com/,"Dublin, Ireland",,,bistro
l'Gueuleton,cestbon@lgueuleton.com,087 939 3608,https://lgueuleton.com/,"Dublin, Ireland",,,bistro
Fitzers Bistro & Bar,info@fitzers.ie,(01) 255 4499,https://fitzers.ie/,"Dublin, Ireland",,,bistro
"Roly's Bistro & Roly's Heated Terrace Restaurant, Cocktail & Wine Bar",ireland@rolysbistro.ie,(01) 668 2611,https://rolysbistro.ie/,"Dublin, Ireland",,,bistro
Yeast Bistronomy,enquiries@yeastgroup.my,03-2282 0118,http://www.yeastgroup.my/,"Kuala Lumpur, Malaysia",,,bistro
Cafe Bistrot David,info@cafebistrotdavid.com,018-912 0332,http://www.cafebistrotdavid.com/,"Kuala Lumpur, Malaysia",,,bistro
Choco's Bistro Oduduwa Way,reservations@bedrockresidencies.com,0812 882 4588,https://bedrockresidencies.com/restaurant/,"Lagos, Nigeria",,,bistro
Il Bistrotto - London,info@ilbistrottolondon.com,020 3793 4533,https://ilbistrottolondon.com/#,"London, UK",,,bistro
Bistro Freddie,info@bistrofreddie.com,020 8050 0374,https://www.bistrofreddie.com/,"London, UK",,,bistro
Baby Bistro,info@babybistrola.com,(213) 266-8784,https://babybistrola.com/,"Los Angeles, USA",,,bistro
Delices Du Chef,hello@delicesduchef.us,(424) 263-4759,http://www.delicesduchef.us/,"Los Angeles, USA",,,bistro
Bistro Gitan,info@bistrogitan.com.au,(03) 9867 5853,http://www.bistrogitan.com.au/,"Melbourne, Australia",,,bistro
Bistro Voliere,info@bistrovoliere.com.au,(03) 8797 2534,http://bistrovoliere.com.au/,"Melbourne, Australia",,,bistro
Chez Olivier Le Bistro,olivier@chezolivier.com.au,(03) 9525 2273,http://www.chezolivier.com.au/,"Melbourne, Australia",,,bistro
Mandolin Aegean Bistro,reservations@mandolinmiami.com,(305) 749-9140,https://www.mandolinrestaurant.com/,"Miami, USA",,,bistro
Le Jardin Bistro NYC,info@lejardinbistronyc.com,(212) 228-0909,https://www.lejardinbistronyc.com/,"New York City, USA",,,bistro
Mino Brasserie,minobrasserie@gmail.com,(845) 524-9006,https://minobrasserie.com/,"New York City, USA",,,bistro
Le Gratin,infolegratin@danielboulud.com,(212) 597-9020,http://www.legratinnyc.com/,"New York City, USA",,,bistro
BSTRO 38,info@bstro38.com,(212) 944-0990,http://bstro38.com/,"New York City, USA",,,bistro
Benoit New York,bistrot@benoitny.com,(646) 943-7373,http://www.benoitny.com/,"New York City, USA",,,bistro
Bistrot Victoires,contact@paris-bistro.com,01 42 61 43 78,http://www.paris-bistro.com/choisir/paris1/bistrot-des-victoires,"Paris, France",,,bistro
Local Bistro,events@localbistroaz.com,(480) 302-6050,http://localbistroaz.com/,"Phoenix, USA",,,bistro
Nassim Hill Bakery Bistro Bar,nassimhill@imaginings.com.sg,9099 6405,http://www.nassimhill.com.sg/,Singapore,,,bistro
Chip Bee Bistro,host@chipbeebistro.com,,https://www.chipbeebistro.com/,Singapore,,,bistro
Filo Bistro,hello@filobistro.com,8347 5888,https://www.filobistro.com/,Singapore,,,bistro
Bistro Papillon,bonjour@bistropapillon.com.au,(02) 9262 2402,https://www.bistropapillon.com.au/,"Sydney, Australia",,,bistro
