business_name,email,phone,website,city,address,owner_name,category
Bealé Pâtisserie,contacto@beale.com.co,301 3997944,http://www.beale.com.co/,"Bogota, Colombia",,,dog cafe
The Bakehouse Chicago,info@thebakehousechicago.com,(773) 800-6296,http://www.thebakehousechicago.com/,"Chicago, USA",,,cafe
Wake N Bakery Chicago Downtown,admin@wakenbakery.com,(312) 405-3608,http://wakenbakery.net/,"Chicago, USA",,,coffee shop
The Cake Cafe,thecakecafe@gmail.com,(01) 478 9394,https://www.cakecafe.ie/,"Dublin, Ireland",,,cafe
The Pastry Section,info@pastrysection.com,0131 332 9779,http://www.pastrysection.com/,"Edinburgh, UK",,,cafe
The Piemaker,piemaker38@gmail.com,0131 531 5795,http://www.thepiemaker.co.uk/,"Edinburgh, UK",,,coffee shop
La Barantine Victoria,contact.labarantine@gmail.com,0131 226 4927,http://www.labarantine.com/,"Edinburgh, UK",,,coffee shop
Christine's Bakery @The Exchange TRX,hello@christinebakery.my,,https://christinebakery.my/,"Kuala Lumpur, Malaysia",,,cafe
Besties Bakery,commande.paris@bestiesbakery.fr,09 78 80 45 15,https://bestiesbakery.fr/paris/,"Paris, France",,,tea house
Maison Nico,info@maisonnico.com,(415) 359-1000,http://maisonnico.com/,"San Francisco, USA",,,cafe
Gateau de Henry,gateaudehenry@gmail.com,(778) 379-2250,http://gateaudehenry.com/,"Vancouver, Canada",,,cafe
"TOP 02 – Desserts, Gelato & Coffee",bonjour@top02.at,0676 7056292,https://top02.at/,"Vienna, Austria",,,coffee shop
Gerstner K. u. K. Hofzuckerbäcker,konditorei@gerstner.at,01 5261361,https://www.gerstner.at/palaistodesco/,"Vienna, Austria",,,cafe
Café Central,cafe.central@palaisevents.at,01 5333763,https://www.cafecentral.wien/,"Vienna, Austria",,,cafe
Cafebrería El Péndulo Roma,web@pendulo.com,55 5574 7034,http://pendulo.com/,"Mexico City, Mexico",,,coffee shop
The Bistro AZ,lbiever@thebistroaz.com,(602) 368-2686,http://www.thebistroaz.com/,"Phoenix, USA",,,cafe
Intelligentsia,press@intelligentsiacoffee.com,(312) 920-9332,https://www.intelligentsia.com/pages/millennium-park-coffeebar,"Chicago, USA",,,coffee shop
The Wormhole Coffee,placejoys.com@gmail.com,(773) 661-2468,https://thewormholecoffee.shop/,"Chicago, USA",,,coffee shop
The Understudy Coffee and Books,hello@theunderstudy.com,(872) 806-0670,https://theunderstudy.com/,"Chicago, USA",,,coffee shop
Broadway Cafe,broadwaycafechicago@gmail.com,(312) 350-4881,http://www.broadwaycafechicago.com/,"Chicago, USA",,,cafe
First Sip Cafe,hello@firstsip.cafe,,http://firstsip.cafe/,"Chicago, USA",,,coffee shop
Prufrock Coffee,info@prufrockcoffee.com,,http://www.prufrockcoffee.com/,"London, UK",,,coffee shop
Double J's Cafe,doublejscafe@hotmail.co.uk,020 7388 1212,http://www.doublejscafe.com/,"London, UK",,,cafe
Dulce Coffee,dulcecafe86@yahoo.com,020 7375 1636,http://www.dulcecoffeeandkitchen.com/,"London, UK",,,cafe
Terry's Cafe | London,info@terryscafe.co.uk,020 7407 9358,https://www.terryscafe.co.uk/,"London, UK",,,cafe
The Monocle Café,hek@monocle.com,020 7135 2040,http://cafe.monocle.com/,"London, UK",,,cafe
The L.A. Cafe,info@thelacafe.com,(213) 612-3000,https://www.thelacafe.com/,"Los Angeles, USA",,,cafe
Dalian's Café,info@dalianscafe.com,(213) 559-0009,http://dalianscafe.com/,"Los Angeles, USA",,,coffee shop
Verve Coffee Roasters,support@vervecoffee.com,(213) 419-5077,http://www.vervecoffee.com/,"Los Angeles, USA",,,coffee shop
Jurassic Magic Coffee,rawr@jurassicmagic.xyz,(424) 835-0598,https://www.jurassicmagic.xyz/,"Los Angeles, USA",,,coffee shop
Boxx Coffee Roasters Co.,hello@boxxcoffee.com,(424) 313-2533,http://boxxcoffee.la/,"Los Angeles, USA",,,coffee roastery
Cafe Luna,info@cafelunany.com,(646) 861-1751,http://www.cafelunanewyork.com/,"New York City, USA",,,coffee shop
Urban Backyard,hello@urbanbackyardnyc.com,(646) 692-9957,http://www.urbanbackyardnyc.com/,"New York City, USA",,,coffee shop
Sip + Co.,info@sipandco.co,(516) 960-2283,http://sipandco.co/,"New York City, USA",,,coffee shop
787 Coffee,hello@787coffee.com,(646) 852-6473,http://www.787coffee.com/,"New York City, USA",,,coffee shop
Paramount Coffee Project,hello@paramountcoffeeproject.com.au,0481 148 439,http://www.paramountcoffeeproject.com.au/,"Sydney, Australia",,,cafe
Industry Beans York St,venues@industrybeans.com,(02) 9188 8501,https://industrybeans.com/pages/york-st-cafe,"Sydney, Australia",,,cafe
Skittle Lane,info@skittlelane.com,,http://skittlelane.com/,"Sydney, Australia",,,coffee shop
Gumption by Coffee Alchemy,support@coffeealchemy.com.au,(02) 9516 1997,https://coffeealchemy.com.au/pages/gumption,"Sydney, Australia",,,coffee shop
Four Ate Five,info@fouratefive.com,(02) 9698 6485,http://www.fouratefive.com/,"Sydney, Australia",,,cafe
FIKA Cafe,info@fika.ca,,http://www.fika.ca/,"Toronto, Canada",,,cafe
Nabulu Coffee,info@nabulucoffee.ca,(647) 669-1372,http://www.nabulucoffee.ca/,"Toronto, Canada",,,coffee shop
Butter & Blue,hello@butterandblue.ca,,https://www.butterandblue.ca/,"Toronto, Canada",,,cafe
