business_name,email,phone,website,city,address,owner_name,category
Dylan Patisserie Makati,info@dylanpatisserie.com,0917 877 2999,https://www.dylanpatisserie.com/,"Manila, Philippines",,,breakfast restaurant
La Industria Bakery & Cafe,info@laindustriabakery.com,(786) 803-8333,https://www.laindustriabakery.com/,"Miami, USA",,,brunch restaurant
Wholegreen Bakery & Cafe Sydney City,orders@wholegreenbakery.com.au,(02) 9286 3963,http://www.wholegreenbakery.com.au/,"Sydney, Australia",,,brunch restaurant
Southern Bistro,info@southernbistroatl.com,(404) 705-8444,http://www.southernbistroatl.com/,"Atlanta, USA",,,brunch restaurant
Café Bastille Downtown Miami,contact@cafebastilledowntown.com,(786) 425-3575,http://www.cafebastilledowntown.com/,"Miami, USA",,,brunch restaurant
Manon Brasserie,bookings@manonbrasserie.com.au,(02) 9051 2008,https://www.manonbrasserie.com.au/?gclid=Cj0KCQjwqPGUBhDwARIsANNwjV7JFrjVKr54nEuP9x-3At_yqkYaW3c9fPcllCjlwVwZ-6JvQyx4tZQaAi4PEALw_wcB,"Sydney, Australia",,,breakfast restaurant
Scarlett Green,reservations@daisygreenfood.com,020 3653 2010,http://www.daisygreenfood.com/,"London, UK",,,breakfast restaurant
In Common NYC - A Breakfast & Brunch Restaurant,weare@incommonnyc.com,(646) 370-3099,https://www.incommonnyc.com/,"New York City, USA",,,breakfast restaurant
Florentin brunch,info@florentinbrunch.com,020 770 5984,http://florentinbrunch.com/,"Amsterdam, Netherlands",,,brunch restaurant
Redbird,info@redbird.la,(213) 788-1191,http://www.redbird.la/,"Los Angeles, USA",,,brunch restaurant
Fiore Caffe Miami,fiorecafemiami@gmail.com,(786) 558-5152,https://fiorecaffemiami.com/,"Miami, USA",,,breakfast restaurant
The Coffee House Barcelona,thecoffeehousebcn@gmail.com,631 05 08 36,https://www.thecoffeehousebcn.com/,"Barcelona, Spain",,,brunch restaurant
NOVELA - COFFEE / BRUNCH / COCKTAILS,info@novelabcn.com,931 65 34 40,http://www.novelabcn.com/,"Barcelona, Spain",,,brunch restaurant
The Koffee Pot,hello@thekoffeepot.co.uk,0161 236 8918,https://www.thekoffeepot.co.uk/menus,"Manchester, UK",,,brunch restaurant
Federal Cafe Bar,jobs@federalcafe.co.uk,,https://www.federalcafe.co.uk/,"Manchester, UK",,,brunch restaurant
Restaurant Black,info@restaurantblack.nl,020 787 0398,https://www.restaurantblack.nl/,"Amsterdam, Netherlands",,,diner
Metro Diner and Bar,metrodineratl@gmail.com,(404) 577-1420,http://www.metrodineratl.com/,"Atlanta, USA",,,diner
Majestic Diner,info@majesticdiner.com,(404) 875-0276,http://www.majesticdiner.com/,"Atlanta, USA",,,diner
Home grown GA Restaurant,homegrownga@yahoo.com,(404) 222-0455,https://www.homegrownga.com/,"Atlanta, USA",,,breakfast restaurant
Egghead Diner,info@egghead.za.com,021 286 9034,https://eggheaddiner.co.za/,"Cape Town, South Africa",,,diner
Stella's Diner,info@stellasdinerchicago.com,(773) 472-9040,http://www.stellasdinerchicago.com/,"Chicago, USA",,,diner
Alexander's Restaurant,erikdmizhospitality@gmail.com,(773) 743-3841,http://alexanderschi.com/,"Chicago, USA",,,diner
Harry's,info@harryshtx.com,(713) 528-0198,http://www.harryshtx.com/,"Houston, USA",,,brunch restaurant
Tel-Wink Grill,telwinkgrill@gmail.com,(713) 644-4933,https://www.telwinkgrill.com/,"Houston, USA",,,diner
Nate's Diner,nates1corp@gmail.com,(832) 286-1609,https://natesdiner.com/,"Houston, USA",,,diner
Jackie's Kitchen,info@jackieskitchenhouston.com,(713) 681-1916,http://jackieskitchenhouston.com/,"Houston, USA",,,diner
Barnaby's Cafe,info@barnabyscafe.com,(713) 874-1454,http://www.barnabyscafe.com/,"Houston, USA",,,diner
Tiger's Diner,tigersdiner1@gmail.com,020 3184 1098,https://www.tigersdiner.co.uk/,"London, UK",,,diner
Unity Diner,nancy@unitydiner.com,020 7426 0224,https://www.unitydiner.co.uk/,"London, UK",,,diner
Fred 62,info@fred62.com,(323) 667-0062,https://fred62.com/,"Los Angeles, USA",,,diner
Cafe 50's Diner - West LA,cafe50swestla@gmail.com,(310) 479-1955,https://www.cafe50s.com/,"Los Angeles, USA",,,diner
Denae’s Diner,info@denaesdiner.com,(213) 439-3002,https://www.denaesdiner.com/,"Los Angeles, USA",,,diner
House of Pies,houseofpies1869@gmail.com,(323) 666-9961,http://houseofpiesla.com/,"Los Angeles, USA",,,diner
Operator Diner,eat@operatordiner.com.au,(03) 8395 6341,https://operatordiner.com.au/,"Melbourne, Australia",,,diner
Henry and The Fox,reservations@henryandthefox.com.au,(03) 9614 3277,https://www.henryandthefox.com.au/,"Melbourne, Australia",,,breakfast restaurant
Tick Tock Diner NY,info@ticktockdinerny.com,(212) 268-8444,http://www.ticktockdinerny.com/,"New York City, USA",,,diner
Golden Diner,talkto@goldendinerny.com,(917) 472-7800,http://www.goldendinerny.com/,"New York City, USA",,,diner
Square Diner,info@squarediner.com,(212) 925-7188,http://squarediner.com/,"New York City, USA",,,diner
Westway Diner,westwaydiner@gmail.com,(212) 582-7661,https://www.westwaydiner.com/,"New York City, USA",,,diner
Malibu Diner,malibudinernyc163@gmail.com,(212) 691-1369,http://malibudinernyc.nyc/,"New York City, USA",,,diner
Court Square Diner,courtdine@aol.com,(718) 392-1222,http://courtsquarediner.com/,"New York City, USA",,,diner
Matt's Big Breakfast,hello@mattsbigbreakfast.com,(602) 254-1074,https://mattsbigbreakfast.com/,"Phoenix, USA",,,brunch restaurant
Fast Eddie's Diner,fasteddiesphx@gmail.com,(602) 938-5688,https://www.fasteddiesdinerphx.com/,"Phoenix, USA",,,breakfast restaurant
Original Breakfast House,riginalbreakfasthouse@aol.com,(602) 482-2328,https://www.originalbreakfasthouse.com/,"Phoenix, USA",,,breakfast restaurant
The George Street Diner,thegeorgestreetdiner@gmail.com,(416) 862-7676,http://thegeorgestreetdiner.com/,"Toronto, Canada",,,diner
The Donlands Diner,donlands1955@gmail.com,(416) 421-8500,http://donlandsdiner.com/,"Toronto, Canada",,,breakfast restaurant
The Broadview Diner,thebroadviewdiner@gmail.com,(416) 297-9685,http://www.broadviewdiner.com/,"Toronto, Canada",,,diner
The Senator,senatorrestaurant@rogers.com,(416) 364-7517,https://www.thesenator.com/,"Toronto, Canada",,,diner
Route 401 Diner,milan@route401diner.com,(416) 247-7836,http://www.route401diner.com/,"Toronto, Canada",,,diner
Fable Diner,dine@fablediner.com,(604) 563-3463,http://www.fablediner.com/,"Vancouver, Canada",,,diner
Northern Cafe,northerncafeandgrill@outlook.com,(778) 532-6240,http://northerncafeandgrill.com/,"Vancouver, Canada",,,diner
The Templeton,info@thetempleton.ca,(604) 685-4612,http://www.thetempleton.ca/,"Vancouver, Canada",,,diner
Deacon's Corner,hello@deaconscorner.ca,(604) 684-1555,http://www.deaconscorner.ca/,"Vancouver, Canada",,,diner
Café Casa Galería,experiencias@casagaleria.co,321 2683638,https://casagaleria.co/,"Bogotá, Colombia",,,breakfast restaurant
JARRYDS.,jarrydseatery@nonamehg.com,021 023 3642,https://www.nonamehg.com/jarryds,"Cape Town, South Africa",,,brunch restaurant
Albert's Shed Restaurant Manchester,karen.hackett@ellerleisure.com,0161 839 9818,http://alberts-restaurants.com/shed/,"Manchester, UK",,,breakfast restaurant
