business_name,address,owner_name,email,phone,website,category,city,source
Hans Egstorf,"Spuistraat 274, 1012 VX Amsterdam, Netherlands",,info@hansegstorf.com,,https://www.hansegstorf.com/?utm_source=GMB&utm_medium=organic&utm_campaign,bakery,"Amsterdam, Netherlands",google_maps
Bakhuys Amsterdam,"Sarphatistraat 61, 1018 EX Amsterdam, Netherlands",,info@bakhuys-amsterdam.nl,020 370 4861,http://www.bakhuys-amsterdam.nl/,bakery,"Amsterdam, Netherlands",google_maps
Patisserie Holtkamp,"Vijzelgracht 15, 1017 HM Amsterdam, Netherlands",,info@patisserieholtkamp.nl,020 624 8757,https://www.patisserieholtkamp.nl/,pastry shop,"Amsterdam, Netherlands",google_maps
Le Fournil de Sébastien Amsterdam,"Olympiaplein 119, 1077 CW Amsterdam, Netherlands",,,020 672 4211,http://www.lefournil.nl/,bakery,"Amsterdam, Netherlands",google_maps
Rene's Croissanterie,"Damstraat 20, 1012 JM Amsterdam, Netherlands",,info@renescroissanterie.nl,020 638 8348,http://www.renescroissanterie.nl/,dessert shop,"Amsterdam, Netherlands",google_maps
Brothers Niemeijer,"Nieuwendijk 35, 1012 MA Amsterdam, Netherlands",,info@gebroedersniemeijer.nl,020 707 6752,http://www.gebroedersniemeijer.nl/,bakery,"Amsterdam, Netherlands",google_maps
Bakkerij Wolf - Wolvenstraat,"Wolvenstraat 22, 1016 EP Amsterdam, Netherlands",,info@bakkerijwolf.com,020 775 2497,https://bakkerijwolf.nl/,bakery,"Amsterdam, Netherlands",google_maps
SAINT-JEAN Bakery,"Lindengracht 158h, 1015 KK Amsterdam, Netherlands",,,,http://www.saintjean.nl/,pastry shop,"Amsterdam, Netherlands",google_maps
Stefs Bakery,"Nieuwe Spiegelstraat 62b, 1017 DH Amsterdam, Netherlands",,,020 845 4741,http://www.stefs-bakery.com/,bakery,"Amsterdam, Netherlands",google_maps
Rise Bakery,"Albert Cuypstraat 208H, 1073 BM Amsterdam, Netherlands",,info@risebakery.nl,,http://www.risebakeryamsterdam.com/,bakery,"Amsterdam, Netherlands",google_maps
De Laatste Kruimel,"Langebrugsteeg 4, 1012 GB Amsterdam, Netherlands",,delaatstekruimel@gmail.com,020 423 0499,https://delaatstekruimel.com/,bakery,"Amsterdam, Netherlands",google_maps
Lanskroon Bakery,"Singel 385, 1012 WL Amsterdam, Netherlands",,bestellingen@lanskroon.nl,020 623 7743,http://www.lanskroon.nl/,pastry shop,"Amsterdam, Netherlands",google_maps
Craft Coffee & Pastry Amsterdam,"Gerard Doustraat 103A, 1073 VS Amsterdam, Netherlands",,info@craft-amsterdam.nl,,http://www.craft-amsterdam.nl/,bakery,"Amsterdam, Netherlands",google_maps
Fort Negen,"Jan Evertsenstraat 31, 1057 BM Amsterdam, Netherlands",,,,https://www.fortnegen.nl/,bakery,"Amsterdam, Netherlands",google_maps
La Panetteria Amsterdam,"Rokin 118A, 1012 LB Amsterdam, Netherlands",,lapanetteriarokin@gmail.com,020 737 2433,http://www.lapanetteria.nl/,bakery,"Amsterdam, Netherlands",google_maps
Margo's Amsterdam,"Eerste Tuindwarsstraat 2A, 1015 RV Amsterdam, Netherlands",,hello@margosamsterdam.com,020 303 1424,http://www.margosamsterdam.com/,bakery,"Amsterdam, Netherlands",google_maps
Almond Bakery,"Eerste Laurierdwarsstraat 13HS, 1016 PV Amsterdam, Netherlands",,almond.bakery.ams@gmail.com,,https://www.almondbakery.nl/,pastry shop,"Amsterdam, Netherlands",google_maps
Petit Gateau,"Haarlemmerstraat 80, 1013 EV Amsterdam, Netherlands",,masterclass@petitgateau.nl,020 737 1585,https://petitgateau.nl/,pastry shop,"Amsterdam, Netherlands",google_maps
Brittons Bakery and Cakery,"Ferdinand Bolstraat 168H, 1072 LT Amsterdam, Netherlands",,info@brittons.nl,06 24376473,http://www.brittonsbakery.nl/,confectionery,"Amsterdam, Netherlands",google_maps
Sea Salt & Chocolate,"Sint Willibrordusstraat 58H, 1073 VD Amsterdam, Netherlands",,hello@seasaltandchocolate.nl,06 41489717,https://www.seasaltandchocolate.nl/,cake shop,"Amsterdam, Netherlands",google_maps
Sweet Hut Bakery & Cafe,"935 Peachtree St NE UNIT 935, Atlanta, GA 30309, USA",,event@sweethut.com,(404) 600-4800,http://www.sweethutbakery.com/,bakery,"Atlanta, USA",google_maps
Alon's Bakery & Market,"1394 N Highland Ave NE, Atlanta, GA 30306, USA",Alon View Here,orders@alons.com,(404) 872-6000,http://alons.com/,bakery,"Atlanta, USA",google_maps
