business_name,address,owner_name,email,phone,website,category,city,source
Bistro Amsterdam,"Prinsengracht 287H, 1016 GW Amsterdam, Netherlands",,,020 627 9016,http://www.bistroamsterdam.nl/,bistro,"Amsterdam, Netherlands",google_maps
o bistro,"Lindengracht 248, 1015 KM Amsterdam, Netherlands",,info@obistro.nl,,http://www.obistro.nl/,french restaurant,"Amsterdam, Netherlands",google_maps
Bistro Baret,"Korte Amstelstraat 18, 1018 XS Amsterdam, Netherlands",,info@bistrobaret.nl,020 622 5602,http://www.bistrobaret.nl/,bistro,"Amsterdam, Netherlands",google_maps
Bistrot des Alpes,"Hobbemakade 64, 1071 XM Amsterdam, Netherlands",,,06 31383181,https://www.bistrotdesalpesamsterdam.nl/,french restaurant,"Amsterdam, Netherlands",google_maps
Bistro Berlage,"Beursplein 1, 1012 JW Amsterdam, Netherlands",,info@bistroberlage.com,020 530 4146,https://www.bistroberlage.com/,bistro,"Amsterdam, Netherlands",google_maps
Bistro Bos,"Bos en Lommerweg 77, 1055 DP Amsterdam, Netherlands",,,020 334 2378,https://bistrobos.nl/,restaurant,"Amsterdam, Netherlands",google_maps
Bistrot Neuf,"Haarlemmerstraat 9, 1013 EH Amsterdam, Netherlands",,reserveringen@neuf.amsterdam,020 400 3210,https://neuf.amsterdam/,french restaurant,"Amsterdam, Netherlands",google_maps
Seafood Bistro,"Warmoesstraat 45, 1012 HV Amsterdam, Netherlands",,,020 423 2167,http://www.seafoodbistro.nl/,bistro,"Amsterdam, Netherlands",google_maps
Bistro Niko,"3344 Peachtree Rd NE, Atlanta, GA 30326, USA",,,(404) 261-6456,https://buckheadrestaurants.com/restaurant/bistro-niko/,bistro,"Atlanta, USA",google_maps
Red Room Bistro,"255 Trinity Ave SW, Atlanta, GA 30303, USA",,,(470) 263-1664,http://www.redroombistro.com/,bistro,"Atlanta, USA",google_maps
Atrium - American Bistro & Martini Bar,"675 Ponce De Leon Ave NE #158, Atlanta, GA 30308, USA",,info@atriumatl.com,(404) 600-3939,https://www.atriumatl.com/,restaurant,"Atlanta, USA",google_maps
Southern Bistro,"4920 Roswell Rd Suite 55, Sandy Springs, GA 30342, USA",,info@southernbistroatl.com,(404) 705-8444,http://www.southernbistroatl.com/,brunch restaurant,"Atlanta, USA",google_maps
THE CHASTAIN - Restaurant,"4320 Powers Ferry Rd NW, Atlanta, GA 30342, USA",,info@thechastainatl.com,(404) 257-6416,http://www.thechastainatl.com/,restaurant,"Atlanta, USA",google_maps
Anis Cafe & Bistro,"2974 Grandview Ave NE, Atlanta, GA 30305, USA",,,(404) 233-9889,https://www.anisbistro.com/,french restaurant,"Atlanta, USA",google_maps
The Bistro - Eat. Drink. Connect.®,"133 Carnegie Way NW, Atlanta, GA 30303, USA",,,(404) 844-5566,https://www.marriott.com/en-us/hotels/atldo-courtyard-atlanta-downtown/dining/?scid=feed67b0-9a2f-4de1-8df6-114544116108,bistro,"Atlanta, USA",google_maps
a mano,"587 Ralph McGill Blvd NE, Atlanta, GA 30312, USA",,,(404) 549-7727,https://www.amanoatl.com/,italian restaurant,"Atlanta, USA",google_maps
By George restaurant and bar,"127 Peachtree Rd NE, Atlanta, GA 30303, USA",,,(470) 851-2752,https://www.bygeorgeatl.com/,restaurant,"Atlanta, USA",google_maps
Bread & Butterfly,"290 Elizabeth St NE F, Atlanta, GA 30307, USA",Jessica White Beverage,info@bread-and-butterfly.com,(678) 515-4536,http://www.bread-and-butterfly.com/,bistro,"Atlanta, USA",google_maps
The Garden Room,"88 W Paces Ferry Rd NW, Atlanta, GA 30305, USA",,websitecontact@thegardenroomatlanta.com,(404) 600-6471,https://thegardenroomatlanta.com/,lounge bar,"Atlanta, USA",google_maps
Utopia Restaurant at the Underground Atlanta,"50 Upper Alabama St, Atlanta, GA 30303, USA",,info@utopialoungeatl.com,(470) 886-1803,https://utopialoungeatl.com/,restaurant,"Atlanta, USA",google_maps
Ziba's Bistro and Wine Bar,"560 &, 562 Boulevard SE, Atlanta, GA 30312, USA",,zibasbistro@gmail.com,(404) 622-4440,https://www.zibasbistroandwinebar.com/,restaurant,"Atlanta, USA",google_maps
Louisiana Bistreaux Seafood Kitchen Buckhead,"3312 Piedmont Rd NE, Atlanta, GA 30305, USA",,,(404) 941-9545,https://www.louisianabistreaux.com/,cajun restaurant,"Atlanta, USA",google_maps
Pacific Rim Bistro,"303 Peachtree Center Ave NE, Atlanta, GA 30303, USA",,pacificrimbistro@gmail.com,(404) 893-0018,http://www.pacificrimbistro.com/,sushi restaurant,"Atlanta, USA",google_maps
Fin & Feathers Restaurants,"345 Edgewood Ave SE, Atlanta, GA 30312, USA",,info@finandfeathersrestaurants.com,(404) 855-5524,http://www.finandfeathersrestaurants.com/,restaurant,"Atlanta, USA",google_maps
Café Bistro at Nordstrom,"3500 Peachtree Rd NE, Atlanta, GA 30326, USA",,,(404) 442-3081,https://www.nordstrom.com/store-details/nordstrom-phipps-plaza?utm_source=google&utm_medium=organic&utm_campaign=food&utm_content=25772&utm_channel=low_nd_seo_local&sp_source=google&sp_campaign=food,cafe,"Atlanta, USA",google_maps
The Southern Gentleman,"3035 Peachtree Rd NE A208, Atlanta, GA 30305, USA",,southerngentleman@sphospitality.com,(404) 939-9845,http://www.thesoutherngentlemanatl.com/,american restaurant,"Atlanta, USA",google_maps
Southern National,"72 Georgia Ave SE Suite 100, Atlanta, GA 30312, USA",,,(404) 907-4245,https://www.southernational.com/,american restaurant,"Atlanta, USA",google_maps
