business_name,address,owner_name,email,phone,website,category,city,source
Sawada Coffee,"112 N Green St, Chicago, IL 60607, USA",,,(312) 344-1750,https://sawadacoffee.com/,coffee shop,"Chicago, USA",google_maps
"Goddess and the Baker, 33 S Wabash-Millennium Park","33 S Wabash Ave, Chicago, IL 60603, USA",,,(312) 877-5176,https://www.goddessandthebaker.com/,cafe,"Chicago, USA",google_maps
Nutella Cafe Chicago,"189 Michigan Ave, Chicago, IL 60601, USA",,,,https://www.nutella.com/us/en/nutella-cafe-chicago,cafe,"Chicago, USA",google_maps
Vietfive Coffee - Chicago,"1116 W Madison St, Chicago, IL 60607, USA",,,(312) 929-4732,https://www.vietfive.com/,coffee shop,"Chicago, USA",google_maps
TARY,"111 W Illinois St, Chicago, IL 60654, USA",,,(773) 322-7315,https://tary.co/,cafe,"Chicago, USA",google_maps
Intelligentsia,"53 E Randolph St, Chicago, IL 60601, USA",,press@intelligentsiacoffee.com,(312) 920-9332,https://www.intelligentsia.com/pages/millennium-park-coffeebar,coffee shop,"Chicago, USA",google_maps
The Wormhole Coffee,"1462 N Milwaukee Ave, Chicago, IL 60622, USA",,placejoys.com@gmail.com,(773) 661-2468,https://thewormholecoffee.shop/,coffee shop,"Chicago, USA",google_maps
Cupitol Coffee & Eatery (Streeterville),"455 E Illinois St, Chicago, IL 60611, USA",,,(312) 929-2065,https://www.cupitol.com/,restaurant,"Chicago, USA",google_maps
The Understudy Coffee and Books,"5531 N Clark St, Chicago, IL 60640, USA",,hello@theunderstudy.com,(872) 806-0670,https://theunderstudy.com/,coffee shop,"Chicago, USA",google_maps
Broadway Cafe,"22 E Adams St, Chicago, IL 60603, USA",Our Team Our,broadwaycafechicago@gmail.com,(312) 350-4881,http://www.broadwaycafechicago.com/,cafe,"Chicago, USA",google_maps
3 Arts Club Cafe at RH Chicago,"1300 N Dearborn St, Chicago, IL 60610, USA",,,(312) 475-9116,http://www.rh.com/chicago/restaurant,restaurant,"Chicago, USA",google_maps
Ground Up Coffee & Bites,"900 W Van Buren St, Chicago, IL 60607, USA",,,(312) 374-1348,https://groundupchicago.com/,coffee shop,"Chicago, USA",google_maps
Two Shades Cafe,"1152 W Taylor St, Chicago, IL 60607, USA",,,(312) 820-9147,http://twoshadescafe.com/,cafe,"Chicago, USA",google_maps
Cafe Jumping Bean,"1439 W 18th St, Chicago, IL 60608, USA",,,(312) 455-0019,https://cafejumpingbean.site/,cafe,"Chicago, USA",google_maps
Kapéj Coffee Roasters,"1447 N Sedgwick St, Chicago, IL 60610, USA",,,(312) 291-9022,http://www.kapejcoffee.com/,coffee shop,"Chicago, USA",google_maps
3rd Coast Cafe,"1260 N Dearborn St, W Goethe St, Chicago, IL 60610, USA",,,(312) 649-0730,http://www.3rdcoastcafe.com/,american restaurant,"Chicago, USA",google_maps
Gold Coast Cafe,"754 N Clark St, Chicago, IL 60654, USA",,,(312) 291-8185,https://goldcoastcafechi.com/?utm_source=google,cafe,"Chicago, USA",google_maps
First Sip Cafe,"1057 W Argyle St, Chicago, IL 60640, USA",,hello@firstsip.cafe,,http://firstsip.cafe/,coffee shop,"Chicago, USA",google_maps
Nomad-Chicago,"820 N Franklin St, Chicago, IL 60610, USA",,,(312) 847-7222,http://www.nomad-chicago.com/,coffee shop,"Chicago, USA",google_maps
