business_name,address,owner_name,email,phone,website,category,city,source
Terraço Jardins,"Alameda Santos, 2233 - Jardim Paulista, São Paulo - SP, 01419-002, Brazil",,terraco.jardins@marriott.com,(11) 97607-6586,https://www.restauranteterracojardins.com.br/,restaurant,"São Paulo, Brazil",google_maps
Jiquitaia,"Rua Coronel Oscar Porto, 808 - Paraíso, São Paulo - SP, 04003-004, Brazil",,contato@jiquitaia.com.br,(11) 3051-5638,http://jiquitaia.com.br,brazilian restaurant,"São Paulo, Brazil",google_maps
Tordesilhas,"Alameda Tietê, 489 - Jardins, São Paulo - SP, 01417-020, Brazil",,tordesilhas@tordesilhas.com,(11) 3107-7444,http://www.tordesilhas.com/,brazilian restaurant,"São Paulo, Brazil",google_maps
Banzeiro Restaurant - São Paulo,"Rua Tabapuã, 830 - Itaim Bibi, São Paulo - SP, 04533-003, Brazil",,banzeirosp@grupobanzeiro.com.br,(11) 2501-4777,https://grupobanzeiro.com.br/banzeiro-sao-paulo/,brazilian restaurant,"São Paulo, Brazil",google_maps
D.O.M.,"R. Barão de Capanema, 549 - Jardins, São Paulo - SP, 01411-010, Brazil",,dom@domrestaurante.com.br,(11) 96918-9947,http://domrestaurante.com.br/,fine dining restaurant,"São Paulo, Brazil",google_maps
Dalva e Dito,"R. Padre João Manuel, 1115 - Cerqueira César, São Paulo - SP, 01411-001, Brazil",,eventos@dalvaedito.com.br,(11) 3068-4444,http://www.dalvaedito.com.br/,brazilian restaurant,"São Paulo, Brazil",google_maps
Esther Rooftop,"01045-000 - R. Basílio da Gama, 29 - Conjunto 1101 - República, São Paulo - SP, 01046-020, Brazil",,contato@estherrooftop.com.br,(11) 3256-1009,https://www.estherrooftop.com.br/,french restaurant,"São Paulo, Brazil",google_maps
Tanit,"R. Oscar Freire, 145 - Jardins, São Paulo - SP, 01426-001, Brazil",,elviraviedma@gmail.com,(11) 3062-6385,http://restaurantetanit.com.br/,spanish restaurant,"São Paulo, Brazil",google_maps
TARAZ,"R. Itapeva, 435 - Bela Vista, São Paulo - SP, 01332-000, Brazil",,saopaulo.restaurantes@rosewoodhotels.com,(11) 3797-0500,https://www.rosewoodhotels.com/pt/sao-paulo/dining/taraz,south american restaurant,"São Paulo, Brazil",google_maps
Bar da Dona Onça,"Av. Ipiranga, 200 - 27 e 29 - Centro Histórico de São Paulo, São Paulo - SP, 01046-925, Brazil",,comunicacao@bardadonaonca.com.br,(11) 3257-2016,http://www.bardadonaonca.com.br/,bar and grill,"São Paulo, Brazil",google_maps
Storia D'Amore zona T,"Kr 13 #82-36, Bogotá, Colombia",,info@restaurantestoriadamore.com,(601) 5085809,https://co.restaurantestoriadamore.com/,italian restaurant,"Bogotá, Colombia",google_maps
La Brasserie,"Kr 13 #85-35, Bogotá, Colombia",,labrasserie@dlksa.net,313 8894213,https://labrasserierestaurante.com/,restaurant,"Bogotá, Colombia",google_maps
