business_name,address,owner_name,email,phone,website,category,city,source
The Pantry,"Leidsekruisstraat 21, 1017 RE Amsterdam, Netherlands",,info@thepantry.nl,020 620 0922,https://www.thepantry.nl/?redirect=yes,dutch restaurant,"Amsterdam, Netherlands",google_maps
Black and Blue,"Leliegracht 46, 1015 DH Amsterdam, Netherlands",,info@restaurantblackandblue.nl,020 625 0807,https://www.restaurantblackandblue.nl/,steak house,"Amsterdam, Netherlands",google_maps
Restaurant Olijfje,"Valkenburgerstraat 223D, 1011 MJ Amsterdam, Netherlands",,info@restaurantolijfje.nl,020 330 4444,https://www.restaurantolijfje.nl/en,mediterranean restaurant,"Amsterdam, Netherlands",google_maps
De Blauwe Hollander,"Leidsekruisstraat 28, 1017 RJ Amsterdam, Netherlands",,info@deblauwehollander.nl,020 627 0521,https://deblauwehollander.nl/,dutch restaurant,"Amsterdam, Netherlands",google_maps
Blue Amsterdam,"Winkelcentrum Kalverpassage, Singel 457, 1012 WP Amsterdam, Netherlands",,welcome@blue-amsterdam.nl,020 427 3901,http://www.blue-amsterdam.nl/,restaurant,"Amsterdam, Netherlands",google_maps
Florentin brunch,"Eerste Sweelinckstraat 20, 1073 CM Amsterdam, Netherlands",,info@florentinbrunch.com,020 770 5984,http://florentinbrunch.com/,brunch restaurant,"Amsterdam, Netherlands",google_maps
The Seafood Bar,"Damrak 213, 1012 ZH Amsterdam, Netherlands",,info@theseafoodbar.com,020 261 1563,https://www.theseafoodbar.com/,seafood restaurant,"Amsterdam, Netherlands",google_maps
Restaurant De Belhamel,"Brouwersgracht 60, 1013 GX Amsterdam, Netherlands",,info@belhamel.nl,020 622 1095,https://www.belhamel.nl/,french restaurant,"Amsterdam, Netherlands",google_maps
Moeders,"Rozengracht 251, 1016 SX Amsterdam, Netherlands",,info@moeders.com,020 626 7957,http://www.moeders.com/,dutch restaurant,"Amsterdam, Netherlands",google_maps
Restaurant Zaza's,"Daniël Stalpertstraat 103, 1072 XD Amsterdam, Netherlands",,info@zazas.nl,020 673 6333,http://www.zazas.nl/,restaurant,"Amsterdam, Netherlands",google_maps
Pesca Seafood Restaurant Amsterdam,"Rozengracht 133, 1016 LV Amsterdam, Netherlands",,hamburg@pesca.restaurant,020 334 5136,https://pesca.restaurant/,seafood restaurant,"Amsterdam, Netherlands",google_maps
Restaurant Black Olive Amsterdam,"Markenplein 30 A, 1011 MV Amsterdam, Netherlands",,info@restaurantblackolive.nl,06 28079666,http://www.restaurantblackolive.nl/,restaurant,"Amsterdam, Netherlands",google_maps
Senses Restaurant,"Vijzelstraat 45, 1017 HE Amsterdam, Netherlands",,welcome@sensesrestaurant.nl,020 530 6266,http://www.sensesrestaurant.nl/,restaurant,"Amsterdam, Netherlands",google_maps
Café-Restaurant Amsterdam,"Watertorenplein 6, 1051 PA Amsterdam, Netherlands",,info@cradam.nl,020 682 2666,https://cradam.nl/,restaurant,"Amsterdam, Netherlands",google_maps
Café restaurant van Kerkwijk,"Nes 41, 1012 KC Amsterdam, Netherlands",,gaspard@qodeinteractive.com,020 620 3316,https://www.vankerkwijk.com/,restaurant,"Amsterdam, Netherlands",google_maps
Umami by Han Amsterdam,"Overtoom 31HS, 1054 HB Amsterdam, Netherlands",,hello@villenoir.com,020 280 1379,http://umami-restaurant.com/,asian fusion restaurant,"Amsterdam, Netherlands",google_maps
BLESS Restaurant,"Hausvogteipl. 10, 10117 Berlin, Germany",,hello@bless-restaurants.com,030 20619795,https://bless-restaurants.com/,asian restaurant,"Berlin, Germany",google_maps
Schnitzelei Mitte,"Chausseestr. 8, Novalisstraße 11, 10115 Berlin, Germany",,mitte@schnitzelei.de,030 32519422,https://schnitzelei.de/mitte/,german restaurant,"Berlin, Germany",google_maps
Zur Gerichtslaube,"Poststraße 28, 10178 Berlin, Germany",,info@gerichtslaube.de,030 2415697,http://www.gerichtslaube.de/,german restaurant,"Berlin, Germany",google_maps
Amrit,"Oranienburger Str. 45, 10117 Berlin, Germany",,info@amrit.de,030 28884840,https://www.amrit.de/,indian restaurant,"Berlin, Germany",google_maps
Restaurant Facil,"Potsdamer Str. 3, 10785 Berlin, Germany",,welcome@facil.de,030 590051234,https://facil.de/de/,fine dining restaurant,"Berlin, Germany",google_maps
