business_name,email,phone,website,city,category,niche
Hans Egstorf,info@hansegstorf.com,,https://www.hansegstorf.com/?utm_source=GMB&utm_medium=organic&utm_campaign,"Amsterdam, Netherlands",bakery,bakery
Bakhuys Amsterdam,info@bakhuys-amsterdam.nl,020 370 4861,http://www.bakhuys-amsterdam.nl/,"Amsterdam, Netherlands",bakery,bakery
Patisserie Holtkamp,info@patisserieholtkamp.nl,020 624 8757,https://www.patisserieholtkamp.nl/,"Amsterdam, Netherlands",pastry shop,bakery
Rene's Croissanterie,info@renescroissanterie.nl,020 638 8348,http://www.renescroissanterie.nl/,"Amsterdam, Netherlands",dessert shop,bakery
Brothers Niemeijer,info@gebroedersniemeijer.nl,020 707 6752,http://www.gebroedersniemeijer.nl/,"Amsterdam, Netherlands",bakery,bakery
Bakkerij Wolf - Wolvenstraat,info@bakkerijwolf.com,020 775 2497,https://bakkerijwolf.nl/,"Amsterdam, Netherlands",bakery,bakery
Rise Bakery,info@risebakery.nl,,http://www.risebakeryamsterdam.com/,"Amsterdam, Netherlands",bakery,bakery
De Laatste Kruimel,delaatstekruimel@gmail.com,020 423 0499,https://delaatstekruimel.com/,"Amsterdam, Netherlands",bakery,bakery
Lanskroon Bakery,bestellingen@lanskroon.nl,020 623 7743,http://www.lanskroon.nl/,"Amsterdam, Netherlands",pastry shop,bakery
Craft Coffee & Pastry Amsterdam,info@craft-amsterdam.nl,,http://www.craft-amsterdam.nl/,"Amsterdam, Netherlands",bakery,bakery
La Panetteria Amsterdam,lapanetteriarokin@gmail.com,020 737 2433,http://www.lapanetteria.nl/,"Amsterdam, Netherlands",bakery,bakery
Margo's Amsterdam,hello@margosamsterdam.com,020 303 1424,http://www.margosamsterdam.com/,"Amsterdam, Netherlands",bakery,bakery
Almond Bakery,almond.bakery.ams@gmail.com,,https://www.almondbakery.nl/,"Amsterdam, Netherlands",pastry shop,bakery
Petit Gateau,masterclass@petitgateau.nl,020 737 1585,https://petitgateau.nl/,"Amsterdam, Netherlands",pastry shop,bakery
Sweet Hut Bakery & Cafe,event@sweethut.com,(404) 600-4800,http://www.sweethutbakery.com/,"Atlanta, USA",bakery,bakery
Alon's Bakery & Market,orders@alons.com,(404) 872-6000,http://alons.com/,"Atlanta, USA",bakery,bakery
