business_name,email,phone,website,city,category,niche
Bealé Pâtisserie,contacto@beale.com.co,301 3997944,http://www.beale.com.co/,"Bogota, Colombia",dog cafe,cafe
The Bakehouse Chicago,info@thebakehousechicago.com,(773) 800-6296,http://www.thebakehousechicago.com/,"Chicago, USA",cafe,cafe
Wake N Bakery Chicago Downtown,admin@wakenbakery.com,(312) 405-3608,http://wakenbakery.net/,"Chicago, USA",coffee shop,cafe
The Cake Cafe,thecakecafe@gmail.com,(01) 478 9394,https://www.cakecafe.ie/,"Dublin, Ireland",cafe,cafe
The Pastry Section,info@pastrysection.com,0131 332 9779,http://www.pastrysection.com/,"Edinburgh, UK",cafe,cafe
The Piemaker,piemaker38@gmail.com,0131 531 5795,http://www.thepiemaker.co.uk/,"Edinburgh, UK",coffee shop,cafe
La Barantine Victoria,contact.labarantine@gmail.com,0131 226 4927,http://www.labarantine.com/,"Edinburgh, UK",coffee shop,cafe
Christine's Bakery @The Exchange TRX,hello@christinebakery.my,,https://christinebakery.my/,"Kuala Lumpur, Malaysia",cafe,cafe
Besties Bakery,commande.paris@bestiesbakery.fr,09 78 80 45 15,https://bestiesbakery.fr/paris/,"Paris, France",tea house,cafe
Maison Nico,info@maisonnico.com,(415) 359-1000,http://maisonnico.com/,"San Francisco, USA",cafe,cafe
Gateau de Henry,gateaudehenry@gmail.com,(778) 379-2250,http://gateaudehenry.com/,"Vancouver, Canada",cafe,cafe
"TOP 02 – Desserts, Gelato & Coffee",bonjour@top02.at,0676 7056292,https://top02.at/,"Vienna, Austria",coffee shop,cafe
Gerstner K. u. K. Hofzuckerbäcker,konditorei@gerstner.at,01 5261361,https://www.gerstner.at/palaistodesco/,"Vienna, Austria",cafe,cafe
Café Central,cafe.central@palaisevents.at,01 5333763,https://www.cafecentral.wien/,"Vienna, Austria",cafe,cafe
Cafebrería El Péndulo Roma,web@pendulo.com,55 5574 7034,http://pendulo.com/,"Mexico City, Mexico",coffee shop,cafe
The Bistro AZ,lbiever@thebistroaz.com,(602) 368-2686,http://www.thebistroaz.com/,"Phoenix, USA",cafe,cafe
Intelligentsia,press@intelligentsiacoffee.com,(312) 920-9332,https://www.intelligentsia.com/pages/millennium-park-coffeebar,"Chicago, USA",coffee shop,cafe
The Wormhole Coffee,placejoys.com@gmail.com,(773) 661-2468,https://thewormholecoffee.shop/,"Chicago, USA",coffee shop,cafe
The Understudy Coffee and Books,hello@theunderstudy.com,(872) 806-0670,https://theunderstudy.com/,"Chicago, USA",coffee shop,cafe
Broadway Cafe,broadwaycafechicago@gmail.com,(312) 350-4881,http://www.broadwaycafechicago.com/,"Chicago, USA",cafe,cafe
First Sip Cafe,hello@firstsip.cafe,,http://firstsip.cafe/,"Chicago, USA",coffee shop,cafe
Prufrock Coffee,info@prufrockcoffee.com,,http://www.prufrockcoffee.com/,"London, UK",coffee shop,cafe
Double J's Cafe,doublejscafe@hotmail.co.uk,020 7388 1212,http://www.doublejscafe.com/,"London, UK",cafe,cafe
Dulce Coffee,dulcecafe86@yahoo.com,020 7375 1636,http://www.dulcecoffeeandkitchen.com/,"London, UK",cafe,cafe
Terry's Cafe | London,info@terryscafe.co.uk,020 7407 9358,https://www.terryscafe.co.uk/,"London, UK",cafe,cafe
