business_name,email,phone,website,city,category,niche
Flour + Time Bakery,flourandtimebakery@gmail.com,(470) 368-6588,http://www.flourandtimebakery.com/,"Atlanta, USA",vegan restaurant,restaurant
Flaky Not Flaky - Bake Shoppe and Chocolatarium,info@flakynotflaky.com,(770) 847-0427,http://www.flakynotflaky.com/,"Atlanta, USA",restaurant,restaurant
Doña Bakehouse Kuala Lumpur,connect@donabakehouse.com,018-782 8782,https://donabakehouse.com/,"Kuala Lumpur, Malaysia",restaurant,restaurant
La Boulangerie,info@laboulangerie.pt,21 395 1208,https://laboulangerie.pt/,"Lisbon, Portugal",restaurant,restaurant
Dylan Patisserie Makati,info@dylanpatisserie.com,0917 877 2999,https://www.dylanpatisserie.com/,"Manila, Philippines",breakfast restaurant,restaurant
Brunetti Oro Flinders Lane,yuri@brunettioro.com,(03) 9069 3169,https://brunettioro.com.au/?utm_source=local&utm_medium=organic&utm_campaign=gmb-listing_flinderslane,"Melbourne, Australia",italian restaurant,restaurant
La Industria Bakery & Cafe,info@laindustriabakery.com,(786) 803-8333,https://www.laindustriabakery.com/,"Miami, USA",brunch restaurant,restaurant
Cakes And Muffin House,info@cakesandmuffins.co.ke,0724 693103,http://www.cakesandmuffins.co.ke/,"Nairobi, Kenya",restaurant,restaurant
Boudin Bakery,info@bistroboudin.com,(415) 351-5561,https://www.bistroboudin.com/,"San Francisco, USA",restaurant,restaurant
Wholegreen Bakery & Cafe Sydney City,orders@wholegreenbakery.com.au,(02) 9286 3963,http://www.wholegreenbakery.com.au/,"Sydney, Australia",brunch restaurant,restaurant
o bistro,info@obistro.nl,,http://www.obistro.nl/,"Amsterdam, Netherlands",french restaurant,restaurant
Bistro Baret,info@bistrobaret.nl,020 622 5602,http://www.bistrobaret.nl/,"Amsterdam, Netherlands",bistro,restaurant
Bistro Berlage,info@bistroberlage.com,020 530 4146,https://www.bistroberlage.com/,"Amsterdam, Netherlands",bistro,restaurant
Bistrot Neuf,reserveringen@neuf.amsterdam,020 400 3210,https://neuf.amsterdam/,"Amsterdam, Netherlands",french restaurant,restaurant
Atrium - American Bistro & Martini Bar,info@atriumatl.com,(404) 600-3939,https://www.atriumatl.com/,"Atlanta, USA",restaurant,restaurant
Southern Bistro,info@southernbistroatl.com,(404) 705-8444,http://www.southernbistroatl.com/,"Atlanta, USA",brunch restaurant,restaurant
THE CHASTAIN - Restaurant,info@thechastainatl.com,(404) 257-6416,http://www.thechastainatl.com/,"Atlanta, USA",restaurant,restaurant
Bread & Butterfly,info@bread-and-butterfly.com,(678) 515-4536,http://www.bread-and-butterfly.com/,"Atlanta, USA",bistro,restaurant
The Garden Room,websitecontact@thegardenroomatlanta.com,(404) 600-6471,https://thegardenroomatlanta.com/,"Atlanta, USA",lounge bar,restaurant
Utopia Restaurant at the Underground Atlanta,info@utopialoungeatl.com,(470) 886-1803,https://utopialoungeatl.com/,"Atlanta, USA",restaurant,restaurant
Ziba's Bistro and Wine Bar,zibasbistro@gmail.com,(404) 622-4440,https://www.zibasbistroandwinebar.com/,"Atlanta, USA",restaurant,restaurant
Pacific Rim Bistro,pacificrimbistro@gmail.com,(404) 893-0018,http://www.pacificrimbistro.com/,"Atlanta, USA",sushi restaurant,restaurant
Fin & Feathers Restaurants,info@finandfeathersrestaurants.com,(404) 855-5524,http://www.finandfeathersrestaurants.com/,"Atlanta, USA",restaurant,restaurant
The Southern Gentleman,southerngentleman@sphospitality.com,(404) 939-9845,http://www.thesoutherngentlemanatl.com/,"Atlanta, USA",american restaurant,restaurant
Bistro Saine,bonjour@bistrosaine.co.nz,09 610 8404,https://bistrosaine.co.nz/,"Auckland, New Zealand",restaurant,restaurant
Hugo's Bistro,hello@hugosbistro.co.nz,09 320 4387,http://hugosbistro.co.nz/,"Auckland, New Zealand",restaurant,restaurant
Amano,events@savorgroup.co.nz,09 394 1416,https://savor.co.nz/amano,"Auckland, New Zealand",restaurant,restaurant
Bucks Bistro,manager@bucksbistro.co.nz,09 215 8435,https://www.bucksbistro.co.nz/,"Auckland, New Zealand",bistro,restaurant
Paname Social,hello@panamesocial.co.nz,09 884 0983,https://www.panamesocial.co.nz/?fbclid=PAAaaXQSPI3joeLPNoRLab4I5l7rWlAQLA_ECggdM8gEhv_l--75ubGUZiiQ4,"Auckland, New Zealand",bistro,restaurant
Le Garde-Manger,bookings@www.legardemanger.co.nz,09 362 0655,http://www.legardemanger.co.nz/,"Auckland, New Zealand",french restaurant,restaurant
Bar Magda,hi@barmagda.co.nz,021 127 9377,http://www.barmagda.co.nz/,"Auckland, New Zealand",restaurant,restaurant
Le Chef,booking@le-chef.co.nz,09 373 4723,https://le-chef.co.nz/,"Auckland, New Zealand",french restaurant,restaurant
Olivia Bistro,oliviabar.bcn@gmail.com,658 08 68 69,https://olivia-bistro.makro.rest/,"Barcelona, Spain",restaurant,restaurant
Algrano Bistro | Tamarit,info@algranobistro.com,640 39 99 88,http://www.algranobistro.com/,"Barcelona, Spain",restaurant,restaurant
Gourmet Sensi,gourmet@sensi.es,936 73 62 65,https://sensi.es/gourmet,"Barcelona, Spain",tapas restaurant,restaurant
Bistro Medina,bistro.medina@t-online.de,030 36419148,http://www.bistromedina.de/,"Berlin, Germany",restaurant,restaurant
Bistro Lebenswelten - Humboldt Forum,humboldtforum@lebenswelten.de,030 555705881,https://www.humboldtforum-lebenswelten.de/,"Berlin, Germany",bistro,restaurant
Belmondo,info@belmondo-berlin.de,030 36287261,http://www.belmondo-berlin.de/,"Berlin, Germany",bistro,restaurant
ITA Bistro,hello@ita-berlin.de,030 64328158,http://www.ita-berlin.de/,"Berlin, Germany",bistro,restaurant
Gina Bistrot,ginabistrot.berlin@gmail.com,01520 6216957,http://www.ginabistrot.com/,"Berlin, Germany",bistro,restaurant
PeterPaul,mail@peterpaul.berlin,030 43773043,http://peterpaul.berlin/,"Berlin, Germany",german restaurant,restaurant
Marie Antoinette | Restaurante Frances,servicioalcliente@restauranteseratta.com,322 7256479,https://www.restmarieantoinette.com/,"Bogotá, Colombia",french restaurant,restaurant
Cosette Andino,cosette.salitre@dlksa.net,321 2093722,http://www.cosettecafebistro.com/,"Bogotá, Colombia",french restaurant,restaurant
L' Orangerie Alvear Palace Hotel,restaurantes.aph@alvear.com.ar,011 4808-2100,http://alvearpalace.com/restaurantes-bares/restaurant-lorangerie/,"Buenos Aires, Argentina",restaurant,restaurant
Las Pizarras bistro,awright@specialtyvaluation.com,011 2190-8568,http://www.laspizarrasbistro.com/,"Buenos Aires, Argentina",bistro,restaurant
The Wes Bistro & Bar,info@thewes.co.za,082 770 3573,https://www.thewes.co.za/,"Cape Town, South Africa",restaurant,restaurant
Bistro Sixteen82,reservations@bistro1682.co.za,021 205 3866,https://steenbergfarm.com/bistro1682-cape-town-contemporary-restaurant/?utm_source=google&utm_medium=organic&utm_id=gbp-bistro-1682,"Cape Town, South Africa",restaurant,restaurant
The Bistro @ Klein Constantia,info@kleinconstantia.com,021 794 5188,https://www.kleinconstantia.com/the-bistro/,"Cape Town, South Africa",restaurant,restaurant
London Road Bistro,events@thehydehotel.com,021 434 0205,https://www.thehydehotel.com/venues,"Cape Town, South Africa",bistro,restaurant
Zest Restaurant,reservations@zestcapetown.co.za,021 010 7010,http://www.zestcapetown.co.za/,"Cape Town, South Africa",restaurant,restaurant
Bistro Monadnock,reso@bistromonadnock.com,(312) 945-7040,http://www.bistromonadnock.com/,"Chicago, USA",french restaurant,restaurant
Bistronomic,bistronomic@hotmail.com,(312) 944-8400,http://bistronomic.net/,"Chicago, USA",bistro,restaurant
River North Bistro,info@rivernorthbistrochicago.com,(312) 202-6055,http://www.rivernorthbistrochicago.com/,"Chicago, USA",american restaurant,restaurant
Village Bistro,info@thefirstcollection.ae,04 275 6621,https://www.thefirstcollection.ae/jvc/restaurants/village-bistro-rest/?utm_source=listings&utm_medium=organic&utm_campaign=villagebistro,"Dubai, UAE",restaurant,restaurant
Bistro Des Arts,info@bistrodesarts.ae,04 551 1576,http://www.bistrodesarts.ae/,"Dubai, UAE",restaurant,restaurant
Bistro Arabia by FashionTV,bistroarabiabyftv@gmail.com,058 900 0897,https://bistroarabiaftv.com/,"Dubai, UAE",restaurant,restaurant
Sal’s Bistro,media@bassili.co,050 788 0222,https://www.salsbistro.co/,"Dubai, UAE",bistro,restaurant
Bistrot Novanta Dubai,reservations@bistrotnovanta.com,050 125 5849,https://www.bistrotnovanta.com/,"Dubai, UAE",restaurant,restaurant
L'AUBERGE RESTAURANT,restoaubergedubai@gmail.com,04 451 6347,https://laubergerestaurant.com/,"Dubai, UAE",restaurant,restaurant
