business_name,address,owner_name,email,phone,website,category,city,source
Intelligentsia,"53 E Randolph St, Chicago, IL 60601, USA",,press@intelligentsiacoffee.com,(312) 920-9332,https://www.intelligentsia.com/pages/millennium-park-coffeebar,coffee shop,"Chicago, USA",google_maps
The Wormhole Coffee,"1462 N Milwaukee Ave, Chicago, IL 60622, USA",,placejoys.com@gmail.com,(773) 661-2468,https://thewormholecoffee.shop/,coffee shop,"Chicago, USA",google_maps
The Understudy Coffee and Books,"5531 N Clark St, Chicago, IL 60640, USA",,hello@theunderstudy.com,(872) 806-0670,https://theunderstudy.com/,coffee shop,"Chicago, USA",google_maps
Broadway Cafe,"22 E Adams St, Chicago, IL 60603, USA",Our Team Our,broadwaycafechicago@gmail.com,(312) 350-4881,http://www.broadwaycafechicago.com/,cafe,"Chicago, USA",google_maps
First Sip Cafe,"1057 W Argyle St, Chicago, IL 60640, USA",,hello@firstsip.cafe,,http://firstsip.cafe/,coffee shop,"Chicago, USA",google_maps
Prufrock Coffee,"23-25 Leather Ln, London EC1N 7TE, UK",,info@prufrockcoffee.com,,http://www.prufrockcoffee.com/,coffee shop,"London, UK",google_maps
Double J's Cafe,"333 Euston Rd., London NW1 3AD, UK",,doublejscafe@hotmail.co.uk,020 7388 1212,http://www.doublejscafe.com/,cafe,"London, UK",google_maps
Scarlett Green,"4 Noel St, London W1F 8GB, UK",,reservations@daisygreenfood.com,020 3653 2010,http://www.daisygreenfood.com/,breakfast restaurant,"London, UK",google_maps
Dulce Coffee,"86 Whitechapel High St, London E1 7QX, UK",,dulcecafe86@yahoo.com,020 7375 1636,http://www.dulcecoffeeandkitchen.com/,cafe,"London, UK",google_maps
Terry's Cafe | London,"158 Great Suffolk St, London SE1 1PE, UK",,info@terryscafe.co.uk,020 7407 9358,https://www.terryscafe.co.uk/,cafe,"London, UK",google_maps
The Monocle Café,"18 Chiltern St, London W1U 7QA, UK",Natalie Theodosi,hek@monocle.com,020 7135 2040,http://cafe.monocle.com/,cafe,"London, UK",google_maps
The L.A. Cafe,"639 S Spring St, Los Angeles, CA 90014, USA",,info@thelacafe.com,(213) 612-3000,https://www.thelacafe.com/,cafe,"Los Angeles, USA",google_maps
Dalian's Café,"530 S Grand Ave, Los Angeles, CA 90071, USA",,info@dalianscafe.com,(213) 559-0009,http://dalianscafe.com/,coffee shop,"Los Angeles, USA",google_maps
Verve Coffee Roasters,"500 Mateo St #102, Los Angeles, CA 90013, USA",,support@vervecoffee.com,(213) 419-5077,http://www.vervecoffee.com/,coffee shop,"Los Angeles, USA",google_maps
Jurassic Magic Coffee,"1865 S Mansfield Ave, Los Angeles, CA 90019, USA",,rawr@jurassicmagic.xyz,(424) 835-0598,https://www.jurassicmagic.xyz/,coffee shop,"Los Angeles, USA",google_maps
République Café Bakery & République Restaurant,"624 S La Brea Ave, Los Angeles, CA 90036, USA",,events@republiquela.com,(310) 362-6115,http://www.republiquela.com/,french restaurant,"Los Angeles, USA",google_maps
Boxx Coffee Roasters Co.,"950 E 3rd St, Los Angeles, CA 90013, USA",Our Partners With,hello@boxxcoffee.com,(424) 313-2533,http://boxxcoffee.la/,coffee roastery,"Los Angeles, USA",google_maps
Bibble & Sip,"253 W 51st St, New York, NY 10019, USA",,info.bibbleandsip@gmail.com,(646) 649-5116,http://bibbleandsip.com/,bakery,"New York City, USA",google_maps
Cafe Luna,"628 Hudson St, New York, NY 10014, USA",,info@cafelunany.com,(646) 861-1751,http://www.cafelunanewyork.com/,coffee shop,"New York City, USA",google_maps
Urban Backyard,"180 Mulberry St, New York, NY 10012, USA",,hello@urbanbackyardnyc.com,(646) 692-9957,http://www.urbanbackyardnyc.com/,coffee shop,"New York City, USA",google_maps
Sip + Co.,"41 W 58th St, New York, NY 10019, USA",,info@sipandco.co,(516) 960-2283,http://sipandco.co/,coffee shop,"New York City, USA",google_maps
In Common NYC - A Breakfast & Brunch Restaurant,"441 9th Ave Suite 101, New York, NY 10001, USA",,weare@incommonnyc.com,(646) 370-3099,https://www.incommonnyc.com/,breakfast restaurant,"New York City, USA",google_maps
787 Coffee,"204 W 10th St, New York, NY 10014, USA",,hello@787coffee.com,(646) 852-6473,http://www.787coffee.com/,coffee shop,"New York City, USA",google_maps
Grace Street Coffee & Desserts,"17 W 32nd St, New York, NY 10001, USA",,hello@bygracestreet.com,(917) 540-2776,https://www.bygracestreet.com/,dessert restaurant,"New York City, USA",google_maps
Cafe Sydney Restaurant,"Level 5 Customs House, 31 Alfred St, Sydney NSW 2000, Australia",,reservations@cafesydney.com,(02) 9251 8683,http://www.cafesydney.com/,cocktail bar,"Sydney, Australia",google_maps
Paramount Coffee Project,"80 Commonwealth St, Surry Hills NSW 2010, Australia",,hello@paramountcoffeeproject.com.au,0481 148 439,http://www.paramountcoffeeproject.com.au/,cafe,"Sydney, Australia",google_maps
Industry Beans York St,"Shop 2/40 York St, Sydney NSW 2000, Australia",,venues@industrybeans.com,(02) 9188 8501,https://industrybeans.com/pages/york-st-cafe,cafe,"Sydney, Australia",google_maps
Vogue Cafe Sydney,"5/31 Wheat Rd, Sydney NSW 2000, Australia",,reservations@voguecafe.au,(02) 8529 8850,https://voguecafe.au/,restaurant,"Sydney, Australia",google_maps
Skittle Lane,"40 King St, Sydney NSW 2000, Australia",,info@skittlelane.com,,http://skittlelane.com/,coffee shop,"Sydney, Australia",google_maps
Gumption by Coffee Alchemy,"Shop 11, The Strand Arcade, 412-414 George St, Sydney NSW 2000, Australia",,support@coffeealchemy.com.au,(02) 9516 1997,https://coffeealchemy.com.au/pages/gumption,coffee shop,"Sydney, Australia",google_maps
Four Ate Five,"485 Crown St, Surry Hills NSW 2010, Australia",,info@fouratefive.com,(02) 9698 6485,http://www.fouratefive.com/,cafe,"Sydney, Australia",google_maps
FIKA Cafe,"28 Kensington Ave, Toronto, ON M5T 2J9, Canada",,info@fika.ca,,http://www.fika.ca/,cafe,"Toronto, Canada",google_maps
Nabulu Coffee,"6 St Joseph St, Toronto, ON M4Y 1J7, Canada",,info@nabulucoffee.ca,(647) 669-1372,http://www.nabulucoffee.ca/,coffee shop,"Toronto, Canada",google_maps
Butter & Blue,"7 Baldwin St, Toronto, ON M5T 1L1, Canada",,hello@butterandblue.ca,,https://www.butterandblue.ca/,cafe,"Toronto, Canada",google_maps
Twilight Cafe & Bar DT (Dundas),"252 Victoria St, Toronto, ON M5B 1V8, Canada",,twilightcafe.midtown@gmail.com,(416) 815-2233,http://twilightcafe.ca/,cafe,"Toronto, Canada",google_maps
