business_name,address,owner_name,email,phone,website,category,city,source
Le Colimaçon,"44 Rue Vieille du Temple, 75004 Paris, France",,contactcolimacon@gmail.com,,https://le-colimacon.fr/,french restaurant,"Paris, France",google_maps
Esteban,"1 Temperance Ln, Sydney NSW 2000, Australia",,info@estebanrestaurant.com.au,(02) 9290 7022,https://www.estebanrestaurant.com.au/,mexican restaurant,"Sydney, Australia",google_maps
Aria Restaurant Sydney,"1 Macquarie St, Sydney NSW 2000, Australia",,res.ariasydney@solotel.com.au,(02) 9240 2255,https://www.ariasydney.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=Aria_Restaurant_Sydney&utm_term=plcid_18420151015366914459,fine dining restaurant,"Sydney, Australia",google_maps
NOMAD Sydney,"16 Foster St, Surry Hills NSW 2010, Australia",,eat@nomad.sydney,(02) 9280 3395,https://nomad.sydney/,australian restaurant,"Sydney, Australia",google_maps
Infinity at Sydney Tower,"Westfield Sydney, Level 4/108 Market St, Sydney NSW 2000, Australia",,reservations@infinitysydneytower.com.au,,https://infinitysydneytower.com.au/,fine dining restaurant,"Sydney, Australia",google_maps
"Luna Lu - Asian Fusion, The Rocks","Ground Level, Bays 4 and 5, Campbells Cove, 7-27 Circular Quay W, The Rocks NSW 2000, Australia",,reservations@lunalu.com.au,(02) 8220 8401,http://www.lunalu.com.au/,asian fusion restaurant,"Sydney, Australia",google_maps
Lana,"Level 1/5-7 Young St, Sydney NSW 2000, Australia",,lana@hinchcliffhouse.com,(02) 7228 1400,https://lana.sydney/,italian restaurant,"Sydney, Australia",google_maps
Primi Italian,"168 Clarence St, Sydney NSW 2000, Australia",,info@test.com,(02) 8296 6430,https://primiitalian.com.au/,italian restaurant,"Sydney, Australia",google_maps
Restaurant Hubert,"15 Bligh St, Sydney NSW 2000, Australia",Brendan Fong,reservations@restauranthubert.com,(02) 8302 2322,https://www.swillhouse.com/venues/restaurant-hubert,french restaurant,"Sydney, Australia",google_maps
RASA,"196 Robert St, Toronto, ON M5S 2K7, Canada",,rasa@thefooddudes.com,(647) 350-8221,http://www.rasabar.ca/,restaurant,"Toronto, Canada",google_maps
Canoe,"66 Wellington St W 54th floor, Toronto, ON M5K 1E9, Canada",,donations@oliverbonacini.com,(416) 364-0054,http://www.canoerestaurant.com/,wine bar,"Toronto, Canada",google_maps
KŌST,"80 Blue Jays Way 44th Floor, Toronto, ON M5V 2G3, Canada",,info@kosttoronto.com,(437) 800-5938,https://kosttoronto.com/,californian restaurant,"Toronto, Canada",google_maps
PAI,"18 Duncan St, Toronto, ON M5H 3G8, Canada",,downtown@paitoronto.com,(416) 901-4724,http://www.paitoronto.com/,thai restaurant,"Toronto, Canada",google_maps
Aloette Restaurant,"163 Spadina Ave. 1st Floor, Toronto, ON M5V 2A5, Canada",,info@aloetterestaurant.com,(416) 260-3444,http://aloetterestaurant.com/,bistro,"Toronto, Canada",google_maps
Daphne,"67 Richmond St W, Toronto, ON M5H 1Z5, Canada",,info@daphnetoronto.com,(416) 203-1414,https://daphnetoronto.com/,american restaurant,"Toronto, Canada",google_maps
The Chase,"10 Temperance St Fl 5, Toronto, ON M5H 1Y4, Canada",,events@thechaserg.com,(647) 348-7000,http://www.thechasetoronto.com/,restaurant,"Toronto, Canada",google_maps
Fox on John,"106 John St #3, Toronto, ON M5V 2E1, Canada",,info@foxonjohn.ca,(647) 748-0369,https://www.foxonjohn.ca/,wine bar,"Toronto, Canada",google_maps
GEORGE Restaurant,"111C Queen St E, Toronto, ON M5C 1S2, Canada",,concierge@verity.ca,(416) 863-6006,http://www.georgeonqueen.com/,bar,"Toronto, Canada",google_maps
